line,word
1,no
1,no
1,now
1,that
1,we've
1,found
1,out
1,about
1,the
1,rats
1,we'll
1,never
1,have
1,plague
1,again
2,believe
2,me
2,madam
2,there'll
2,be
2,no
2,more
2,plague
2,in
2,our
2,lifetime
3,by
3,the
3,autumn
3,of
3,the
3,year
3,of
3,our
3,lord
3,1495
3,the
3,black
3,plague
3,once
3,again
3,howled
3,westwards
3,across
3,europe
3,from
3,the
3,indies
3,carried
3,by
3,seamen
3,and
3,entering
3,england
3,by
3,the
3,south
3,west
3,passage
3,each
3,day
3,thousands
3,died
3,village
3,after
3,village
3,disappeared
3,in
3,its
3,evil
3,wake
3,and
3,not
3,even
3,the
3,best
3,and
3,noblest
3,escaped
3,its
3,horror
4,ah
4,edmund
4,i'm
4,glad
4,i've
4,caught
4,you
5,er
5,doing
5,what
6,i'm
6,afraid
6,father's
6,feeling
6,a
6,bit
6,under
6,the
6,weather
7,oh
7,dear
7,any
7,idea
7,what
8,not
8,sure
8,i
8,think
8,it's
8,probably
8,black
8,death
8,nevertheless
8,i
8,am
8,sure
8,that
8,he'd
8,appreciate
8,a
8,little
8,visit
8,from
8,you
9,oh
9,well
9,i'm
9,sure
9,i
9,can
9,pop
9,my
9,head
9,round
9,the
9,door
10,sort
10,of
10,nowish
11,mother
11,would
11,you
11,like
11,to
12,oh
12,no
12,dear
12,he
12,won't
12,let
12,me
12,near
12,him
13,how
13,is
13,he
14,well
14,he's
14,up
15,my
15,lords
15,of
15,the
15,council
15,we
15,face
15,today
15,the
15,gravest
15,crisis
15,this
15,country
15,has
15,known
15,since
15,the
15,roman
15,invasion
16,hear
16,hear
17,therefore
17,i
17,propose
18,your
18,highness
18,the
18,king
18,has
18,stirred
18,and
18,calls
18,for
18,you
19,ah
19,very
19,well
19,gentlemen
19,i
19,must
19,leave
19,you
19,prince
19,edmund
19,is
19,in
19,charge
20,er
20,yes
20,right
20,gentlemen
20,right
20,as
20,you
20,know
20,today
20,we
20,face
20,the
20,gravest
20,crisis
20,this
20,country
20,has
20,known
20,since
20,the
20,roman
20,invasion
21,and
21,the
21,swiss
21,invasion
22,er
22,well
22,the
22,greatest
22,crisis
22,for
22,some
22,time
23,why
24,because
24,the
24,king
24,is
24,possessed
25,what
26,and
26,a
26,friend
26,of
26,mine
26,had
26,this
26,awful
26,pimple
26,on
26,the
26,inside
26,of
26,his
26,nose
27,percy
27,shut
27,up
27,for
27,god's
27,sake
28,and
28,a
28,farmer
28,in
28,heard
28,a
28,cow
28,reciting
28,geoffrey
28,chaucer
28,and
28,a
28,young
28,woman
28,in
28,shropshire
28,saw
28,geoffrey
28,chaucer
28,in
28,a
28,field
28,mooing
28,and
28,suckling
28,a
28,young
28,heifer
29,gentlemen
29,gentlemen
29,surely
29,we
29,aren't
29,the
29,sort
29,of
29,people
29,who
29,believe
29,in
29,this
29,sort
29,of
29,thing
29,i
29,mean
29,next
29,you'll
29,be
29,telling
29,me
29,is
29,that
29,washing
29,your
29,hair
29,in
29,bat's
29,droppings
29,stops
29,you
29,going
29,bald
30,i
30,move
30,that
30,we
30,do
30,the
30,only
30,thing
30,we
30,can
30,do
30,to
30,remove
30,this
30,curse
30,from
30,the
30,kingdom
31,ah
31,well
31,that
31,sounds
31,like
31,the
31,answer
31,doesn't
31,it
32,the
32,prince
32,of
32,wales
32,must
32,be
32,informed
33,percy
33,percy
34,what
35,what
35,the
35,devil
35,do
35,you
35,think
35,you're
35,doing
36,look
36,look
36,i
36,just
36,can't
36,take
36,the
36,pressure
36,of
36,all
36,these
36,omens
36,anymore
37,percy
38,no
38,no
38,really
38,i'm
38,serious
38,only
38,this
38,morning
38,in
38,the
38,courtyard
38,i
38,saw
38,a
38,horse
38,with
38,two
38,heads
38,and
38,two
38,bodies
39,two
39,horses
39,standing
39,next
39,to
39,each
39,other
40,yes
40,i
40,suppose
40,it
40,could
40,have
40,been
41,honestly
41,percy
41,i
41,bet
41,you're
41,just
41,the
41,sort
41,of
41,person
41,who
41,thinks
41,that
41,sticking
41,your
41,finger
41,up
41,a
41,sheep's
41,bottom
41,on
41,good
41,friday
41,will
41,make
41,you
41,fertile
42,that's
42,rubbish
43,quite
43,really
44,it's
44,easter
44,monday
45,yes
45,remind
45,me
45,not
45,to
45,shake
45,your
45,hand
45,during
45,a
45,religious
45,festival
45,baldrick
45,i
45,don't
45,believe
45,it
45,i
45,mean
45,who
45,is
45,this
45,witchsmeller
45,pursuivant
45,anyway
46,i
46,don't
46,know
46,my
46,lord
46,but
46,mistress
46,scott
46,would
47,ah
47,yes
47,the
47,old
47,crone
47,with
47,a
47,cat
48,oh
48,yes
48,the
48,cat
48,lovely
48,oh
48,but
48,she
48,lives
48,in
48,the
48,village
49,so
50,everyone's
50,dying
50,of
50,the
50,plague
51,oh
51,yes
51,that's
51,what
51,they
51,claim
51,those
51,peasants
51,any
51,excuse
51,to
51,get
51,off
51,a
51,decent
51,day's
51,work
52,i
52,mean
52,obviously
52,there
52,are
52,some
52,genuine
52,cases
53,morning
53,peasant
54,morning
54,peasant
55,morning
55,peasant
56,my
56,lord
56,shouldn't
56,you
56,disguise
56,yourself
57,hmm
58,well
58,i
58,mean
58,we
58,don't
58,want
58,someone
58,with
58,a
58,grudge
58,coming
58,up
58,and
58,infecting
58,you
58,on
58,purpose
59,ah
59,yes
59,you're
59,right
60,morning
60,friend
61,morning
61,friend
62,this
62,way
62,my
62,lord
63,yes
64,bring
64,out
64,your
64,dea
65,you
65,where's
65,mistress
65,scott
66,oh
66,my
66,god
66,and
66,what's
66,that
67,the
67,er
67,cat
67,my
67,lord
68,does
68,anyone
68,know
68,what
68,happened
69,you
69,burned
69,her
69,why
70,you
70,burned
70,mistress
70,scott
70,for
70,being
70,a
70,witch
70,why
71,a
71,secret
71,do
71,you
71,know
71,who
71,i
71,am
72,oh
72,yes
72,that's
72,right
72,well
72,tell
72,me
72,anyway
73,no
73,i
73,suppose
73,i
73,wouldn't
73,so
73,is
73,it
73,the
73,witchsmeller
73,pursuivant
73,who
73,burned
73,her
74,they
74,don't
74,call
74,him
74,clever
74,jake
74,for
74,nothing
74,you
74,know
75,well
75,they
75,don't
75,call
75,me
75,clever
75,ja
75,oh
75,i
75,see
75,so
75,what
75,does
75,this
75,witchsmeller
75,man
75,look
75,like
76,i
76,believe
76,so
77,ah
77,right
77,so
77,he
77,won't
77,be
77,around
77,now
77,well
77,let
77,me
77,tell
77,you
77,something
77,if
77,this
77,so
77,called
77,witchsmeller
77,burnt
77,mistress
77,scott
78,and
78,her
78,pussycat
79,and
79,her
79,pu
79,be
79,quiet
79,percy
79,then
79,there's
79,something
79,wrong
79,with
79,his
79,nose
79,and
79,i
79,should
79,know
79,they
79,don't
79,call
79,me
79,clever
79,pete
79,for
79,nothing
80,jake
80,my
80,lord
81,what
81,about
81,him
82,clever
82,jake
82,my
82,lord
83,where
84,you
84,are
84,clever
84,jake
84,my
84,lord
85,oh
85,yes
85,they
85,don't
85,call
85,me
85,clever
85,pete
85,at
85,all
85,they
85,call
85,me
85,clever
85,jake
85,and
85,if
85,i
85,were
85,you
85,and
85,i'd
85,asked
85,the
85,witchsmeller
85,into
85,town
85,i'd
85,kick
85,the
85,big
85,nosed
85,bully
85,straight
85,out
85,again
85,what
85,do
85,you
85,say
86,i
86,think
86,it's
86,worth
86,serious
86,consideration
87,well
87,exactly
87,take
87,clever
87,tom's
87,advice
87,and
87,send
87,him
87,back
87,to
87,the
87,madhouse
87,he
87,came
87,from
87,come
87,on
87,boys
87,put
87,them
87,down
87,percy
87,come
87,on
87,mistress
87,scott
87,is
87,obviously
87,in
87,no
87,state
87,to
87,help
87,us
87,today
88,i
88,have
88,two
88,functions
88,to
88,protect
88,the
88,good
88,and
88,to
88,crush
88,the
88,evil
88,watch
89,fascinating
89,absolutely
89,fascinating
89,erm
89,actually
89,you
89,have
89,crushed
89,both
89,eggs
89,you
89,know
90,some
90,that
90,seem
90,good
90,sometimes
90,proveth
90,to
90,be
90,evil
91,my
91,lords
91,the
91,duke
91,of
91,edinburgh
92,ah
92,edmund
92,come
92,on
92,in
92,come
92,on
92,in
92,the
92,witchsmeller's
92,arrived
93,oh
93,yes
93,old
93,bignose
93,is
93,back
93,is
93,he
94,oh
94,hello
94,i'm
94,delighted
94,to
94,meet
94,you
94,why
94,i'm
94,one
94,of
94,your
94,greatest
94,admirers
95,old
95,bignose
95,is
95,back
96,yes
96,old
96,bignose
96,is
96,back
96,he's
96,in
96,a
96,terrible
96,state
96,i
96,was
96,talking
96,to
96,him
96,just
96,now
96,he's
96,a
96,great
96,admirer
96,of
96,yours
96,as
96,well
97,who's
97,this
98,er
98,old
98,bignose
98,in
98,fact
98,i
98,was
98,hearing
98,about
98,your
98,work
98,in
98,imagine
98,that
98,every
98,single
98,person
98,in
98,the
98,village
98,having
98,an
98,affair
98,with
98,the
98,same
98,duck
99,the
99,duck
99,of
99,taunton
99,was
99,a
99,tragic
99,circumstance
100,and
100,i
100,hear
100,you
100,very
100,kindly
100,burned
100,our
100,mistress
100,scott
100,for
100,us
101,oh
101,yes
101,and
101,her
101,pussycat
102,ah
102,but
102,have
102,you
102,found
102,the
102,chief
102,witch
102,yet
103,i
103,feel
103,i
103,may
103,be
103,very
103,close
104,ooh
104,get
104,the
104,kindling
104,ready
104,make
104,sure
104,that
104,stake
104,is
104,well
104,done
105,witchsmeller
105,my
105,dear
105,if
105,you
105,do
105,happen
105,to
105,come
105,across
105,someone
105,who's
105,a
105,bit
105,you
105,know
105,um
105,witchy
105,how
105,do
105,you
105,prove
105,him
105,guilty
106,by
106,trial
106,or
106,by
106,ordeal
107,ah
107,the
107,ordeal
107,by
107,water
108,no
108,by
108,axe
109,oh
110,the
110,suspected
110,witch
110,has
110,his
110,head
110,placed
110,upon
110,a
110,block
110,and
110,an
110,axe
110,aimed
110,at
110,his
110,neck
110,if
110,the
110,man
110,is
110,guilty
110,the
110,axe
110,will
110,bounce
110,off
110,his
110,neck
110,so
110,we
110,burn
110,him
110,if
110,he
110,is
110,not
110,guilty
110,the
110,axe
110,will
110,simply
110,slice
110,his
110,head
110,off
111,what
111,a
111,very
111,fair
111,test
111,that
111,is
112,would
112,you
112,like
112,to
112,take
112,a
112,less
112,violent
112,test
112,yourself
112,your
112,highness
112,by
112,way
112,of
112,demonstration
113,how
113,much
113,less
113,violent
114,i
114,place
114,before
114,the
114,suspect
114,a
114,dagger
114,and
114,crucifix
115,oh
115,how
115,interesting
116,the
116,suspect
116,is
116,blindfolded
116,and
116,if
116,he
116,picks
116,up
116,the
116,dagger
116,from
116,the
116,table
116,he
116,is
116,satan's
116,bedfellow
117,yes
117,edmund
117,i
117,think
117,you
117,should
117,do
117,it
117,eh
117,at
117,least
117,take
117,yourself
117,out
117,of
117,the
117,running
117,wot
118,oh
118,very
118,good
118,very
118,good
119,i'm
119,not
119,so
119,sure
119,about
119,all
119,this
119,you
119,know
120,oh
120,come
120,on
121,you
121,will
121,all
121,notice
121,how
121,it
121,has
121,suddenly
121,become
121,much
121,darker
121,choose
122,there
122,we
122,are
123,how
123,the
123,devil
123,did
123,that
123,happen
124,my
124,lord
124,as
124,i
124,thought
124,this
124,is
124,the
124,source
124,of
124,evil
124,in
124,your
124,kingdom
124,this
124,is
124,your
124,witch
124,behold
124,lucifer's
124,brother
124,b
124,b
124,bl
124,bl
124,b
124,b
124,burn
124,the
124,witch
125,yes
125,er
125,i'm
125,not
125,quite
125,sure
125,i
125,caught
125,the
125,first
125,part
125,of
125,that
126,my
126,lord
126,and
126,you
126,will
126,know
126,the
126,truth
127,if
127,that's
127,what
127,you
127,recommend
128,but
128,harry
128,you
128,can't
128,let
128,him
128,do
128,this
129,he
129,is
129,very
129,highly
129,thought
129,of
129,you
129,know
130,but
130,he's
130,a
130,quack
131,what
131,did
131,you
131,say
132,quack
132,quack
132,quack
133,you
133,see
133,my
133,lord
133,how
133,the
133,duck
133,of
133,taunton
133,lives
133,within
133,him
134,yes
134,i'm
134,afraid
134,so
134,let
134,him
134,be
134,tried
134,tomorrow
135,lords
135,and
135,ladies
135,of
135,england
135,this
135,court
135,is
135,summoned
135,to
135,adjudge
135,the
135,most
135,heinous
135,of
135,all
135,crimes
135,that
135,of
135,witchcraft
136,further
136,this
136,day
136,as
136,the
136,accused
136,is
136,a
136,prince
136,of
136,the
136,realm
136,step
136,forward
136,edmund
136,duke
136,of
136,edinburgh
137,who
137,will
137,defend
137,the
137,accused
138,and
138,thus
138,condemn
138,himself
138,to
138,certain
138,burning
138,at
138,the
138,stake
138,as
138,a
138,partner
138,in
138,satan
138,if
138,the
138,accused
138,is
138,found
138,guilty
139,lord
139,percy
139,will
139,defend
139,his
139,royal
139,highness
140,oh
140,yes
140,yes
140,me
140,sorry
140,yes
140,hello
141,witch
142,witch
143,witch
144,my
144,lord
144,will
144,you
144,force
144,us
144,to
144,listen
144,to
144,the
144,pleadings
144,of
144,a
144,man
144,who
144,may
144,be
144,a
144,witch
144,himself
145,you
145,know
145,you're
145,absolutely
145,right
145,yes
145,well
145,that
145,concludes
145,the
145,case
145,for
145,the
145,defence
145,thank
145,you
145,lord
145,percy
145,let
145,the
145,prosecutor
145,begin
146,prince
146,edmund
146,are
146,you
146,a
146,christian
147,yes
147,of
147,course
147,i
147,am
148,can
148,you
148,say
148,the
148,lord's
148,prayer
149,well
149,yes
149,i
149,can
149,say
149,it
149,backwards
149,if
149,you
149,like
150,confession
151,now
151,edmund
151,i
151,believe
151,you
151,have
151,a
151,pussycat
152,yes
153,ohh
154,its
154,name
154,is
154,bubbles
155,right
156,yes
156,or
156,to
156,give
156,it
156,its
156,full
156,name
156,beelzebubbles
157,do
157,you
157,deny
157,that
157,you
157,were
157,seen
157,on
157,the
157,feast
157,of
157,st
157,jacob
157,the
157,turgid
157,speaking
157,to
157,this
157,little
157,cat
157,bubbles
158,well
158,of
158,course
158,i
158,deny
158,it
159,ah
159,but
159,the
159,chambermaid
159,mary
159,heard
159,you
159,say
159,and
159,i
159,quote
159,hello
159,little
159,bubbles
159,would
159,you
159,like
159,some
159,milk
160,well
160,i
160,might
160,have
160,said
160,that
161,ah
162,and
162,what
162,did
162,you
162,mean
162,by
162,it
163,well
163,i
163,meant
163,would
163,the
163,cat
163,like
163,some
163,milk
164,milk
164,what
164,did
164,you
164,mean
164,by
164,milk
165,i
165,meant
165,milk
165,bloody
165,milk
166,bloody
166,milk
166,it
166,was
166,a
166,mixture
166,of
166,milk
166,and
166,blood
167,no
167,no
167,just
167,milk
168,ah
168,blood
168,was
168,to
168,come
168,later
169,there
169,wasn't
169,any
169,blood
170,so
170,you
170,had
170,to
170,make
170,do
170,with
170,milk
171,i
171,my
171,lord
171,you
171,have
171,a
171,horse
171,called
171,black
171,satin
172,yes
173,yes
173,and
173,do
173,you
173,confess
173,than
173,on
173,the
173,thirtieth
173,day
173,of
173,you
173,did
173,say
173,to
173,this
173,horse
173,black
173,satin
173,and
173,i
173,quote
173,satin
173,would
173,you
173,like
173,some
173,carrots
174,well
174,i
174,might
174,have
174,done
174,he
174,likes
174,carrots
175,carrots
176,yes
176,carrots
177,but
177,ladies
177,and
177,gentlemen
177,we
177,all
177,know
177,that
177,carrots
177,are
177,the
177,devil's
177,favourite
177,food
178,no
178,no
178,we
178,don't
178,if
178,the
178,devil
178,likes
178,carrots
178,why
178,isn't
178,mentioned
178,in
178,the
178,bible
178,then
178,why
178,doesn't
178,it
178,say
178,and
178,he
178,took
178,the
178,lord
178,up
178,to
178,the
178,top
178,of
178,an
178,high
178,mountain
178,and
178,offered
178,him
178,a
178,carrot
179,yes
179,why
179,isn't
179,thou
179,shalt
179,not
179,eat
179,carrots
179,in
179,the
179,ten
179,commandments
180,it
180,is
181,the
181,ten
181,commandments
181,of
181,in
181,the
181,appendix
181,to
181,the
181,apocrypha
181,and
181,the
181,lord
181,said
181,unto
181,the
181,children
181,of
181,neither
181,shalt
181,thou
181,eat
181,the
181,fruit
181,of
181,the
181,tree
181,that
181,is
181,known
181,as
