line,word
1,many
1,are
1,the
1,tales
1,told
1,of
1,the
1,black
1,adder
1,and
1,of
1,his
1,faithfulhenchmen
1,lord
1,percy
1,percy
1,and
1,baldric
1,son
1,of
1,robin
1,the
1,dung
1,gatherer
1,butnone
1,is
1,told
1,so
1,oft
1,with
1,so
1,much
1,hitting
1,of
1,heads
1,with
1,wonder
1,andrepeating
1,of
1,exciting
1,parts
1,as
1,this
1,the
1,final
1,chapter
1,in
1,the
1,book
1,of
1,theblack
1,adder
2,england
2,1498
2,st
2,junipers
2,day
2,on
2,which
2,the
2,king
2,would
2,lavish
2,newhonours
2,upon
2,his
2,kinfolk
3,harry
3,i
3,hereby
3,name
3,thee
3,captain
3,of
3,the
3,guard
3,grand
3,warden
3,of
3,thenorthern
3,and
3,eastern
3,marches
3,chief
3,lunatic
3,of
3,the
3,duchy
3,of
3,gloucester
3,viceroy
3,of
3,wales
3,sheriff
3,of
3,nottingham
3,marquis
3,of
3,the
3,midlands
3,lordhoe
3,maker
3,in
3,ordinary
3,and
3,harbinger
3,of
3,the
3,doomed
3,rat
3,step
3,forward
3,the
3,other
3,one
4,till
4,now
4,thy
4,titles
4,have
4,been
4,but
4,few
4,duke
4,of
4,edinburgh
4,and
4,warden
4,ofthe
4,royal
4,privvies
5,we
5,thank
5,thee
5,egbert
5,for
5,thy
5,wok
5,in
5,edinburgh
5,know
5,now
5,that
5,we
5,dorelieve
5,thee
5,of
5,thy
5,heavy
5,task
5,and
5,give
5,the
5,dukedom
5,to
5,our
5,lord
5,cousinhastings
5,many
5,happy
5,returns
5,tom
5,thus
5,have
5,i
5,discharged
5,the
5,duties
5,of
5,juniper
5,chiswick
5,freshhorses
5,we
5,ride
5,at
5,once
5,to
5,rebellious
5,stoke
5,where
5,it
5,is
5,my
5,sworn
5,intent
5,toapproach
5,the
5,city
5,walls
5,bare
5,my
5,broad
5,buttocks
5,and
5,shout
5,behold
5,i
5,honourthee
5,most
5,highly
6,well
6,it
6,could
6,have
6,been
6,worse
6,my
6,lord
7,yeah
7,for
7,a
7,moment
7,there
7,i
7,thought
7,you
7,were
7,going
7,to
7,lose
7,theprivvies
8,no
8,you're
8,right
8,my
8,lord
8,it
8,won't
9,very
9,well
9,percy
9,you're
9,dismissed
9,from
9,my
9,service
10,because
10,percy
10,far
10,from
10,being
10,a
10,fit
10,consort
10,for
10,a
10,prince
10,of
10,therealm
10,you
10,would
10,bore
10,the
10,leggings
10,off
10,a
10,village
10,idiot
10,you
10,ride
10,a
10,horserather
10,less
10,well
10,tan
10,another
10,horse
10,would
10,your
10,brain
10,would
10,make
10,a
10,grain
10,ofsand
10,look
10,large
10,and
10,ungainly
10,and
10,the
10,part
10,of
10,you
10,that
10,can't
10,be
10,mentioned
10,i
10,am
10,reliably
10,informed
10,by
10,women
10,around
10,the
10,court
10,wouldn't
10,be
10,worthmentioning
10,even
10,if
10,it
10,could
10,be
10,if
10,you
10,put
10,on
10,a
10,floppy
10,hat
10,and
10,a
10,furrycod
10,piece
10,you
10,might
10,just
10,get
10,by
10,as
10,a
10,fool
10,but
10,since
10,you
10,wouldn't
10,know
10,ajoke
10,if
10,it
10,got
10,up
10,and
10,gave
10,you
10,a
10,hair
10,cut
10,i
10,doubt
10,it
10,that
10,is
10,why
10,you'redismissed
11,oh
11,i
11,see
12,and
12,as
12,for
12,you
12,baldric
13,yes
13,my
13,lord
14,you're
14,out
14,too
15,fair
15,enough
16,so
16,edmund
16,spurned
16,his
16,friends
16,and
16,began
16,his
16,quest
16,for
16,glory
17,well
17,i
17,expect
17,you'll
17,go
17,back
17,to
17,shovelling
17,dung
17,in
17,the
17,gutter
17,where
17,ifound
17,you
18,nah
18,shouldn't
18,think
18,so
19,no
20,no
20,it
20,took
20,me
20,years
20,to
20,get
20,that
20,job
20,i'll
20,probably
20,be
20,back
20,milking
20,pigsor
20,mucking
20,out
20,the
20,leppers
21,really
22,yeah
22,it'll
22,be
22,years
22,before
22,i
22,get
22,back
22,to
22,shovelling
22,dung
22,again
23,get
23,out
23,of
23,my
23,way
24,no
24,i
24,thought
24,i'd
24,stand
24,here
24,all
24,day
24,and
24,talk
24,to
24,you
25,you'll
25,be
25,needing
25,someone
25,to
25,tend
25,your
25,horse
25,then
26,no
26,and
26,even
26,if
26,i
26,did
26,i
26,wouldn't
26,take
26,you
26,i
26,mean
26,look
26,at
26,you
26,what
26,isyour
26,profession
27,oh
27,my
27,god
27,a
27,retired
27,morris
27,dancer
27,thats
27,all
27,i
27,need
27,well
27,if
27,you
27,can
27,keepup
27,you
27,can
27,come
28,thus
28,did
28,edmund
28,set
28,forth
28,into
28,england
29,with
29,his
29,rather
29,irritating
29,old
29,servant
30,and
30,so
30,the
30,black
30,adder
30,scoured
30,the
30,land
30,to
30,search
30,out
30,the
30,sixother
30,most
30,evil
30,men
30,in
30,the
30,kingdom
31,sir
31,wilfred
31,death
32,sir
32,wilfred
32,death
33,edmund
34,i'm
34,looking
34,for
34,some
34,men
34,to
34,take
34,over
34,the
34,kingdom
35,how
35,many
35,have
35,you
35,got
35,so
35,far
36,three
36,fingered
36,pete
37,there
37,is
37,our
37,mark
37,indicates
37,an
37,archery
37,target
37,you
37,shoot
37,first
38,thats
38,good
38,so
38,good
38,in
38,fact
38,i'm
38,going
38,to
38,have
38,to
39,cheat
40,guy
40,de
40,glastonbury
41,thank
41,you
42,now
42,let
42,me
42,pass
43,you
43,did
44,sorry
44,slip
44,of
44,the
44,tongue
44,your
44,money
44,and
44,your
44,life
45,sorry
46,guy
47,wilfred
48,now
48,what
48,we
48,need
48,is
48,a
48,real
48,bastard
49,sean
49,the
49,irish
49,bastard
50,sean
50,the
50,irish
50,bastard
51,aye
51,everyones
51,gone
51,to
51,lunch
51,i
51,think
52,sean
53,friar
53,i
53,fear
53,greatly
53,for
53,her
53,chastity
54,friar
54,bellows
55,yes
55,i
55,wondered
55,if
55,you
55,would
55,take
55,her
55,while
55,i'm
55,gone
56,yes
56,the
56,answer
56,is
56,yes
57,friar
57,bellows
58,doing
58,the
58,lords
58,work
59,i
59,was
59,just
59,ministering
59,extreme
59,unction
60,who
60,shall
60,be
60,our
60,seventh
60,wilfred
61,why
61,need
61,i
61,say
61,more
61,jack
62,not
62,mad
62,bully
62,boy
62,jack
62,the
62,grave
62,robbing
62,assassin
62,of
62,aldwich
63,no
64,then
64,crazed
64,animal
64,jack
64,the
64,cattle
64,rustling
64,canibal
64,fromsutton
64,coalfield
65,ha
65,ha
65,no
66,then
66,your
66,mans
66,sane
66,jack
66,o'hooligan
66,the
66,man
66,hating
66,goat
66,murderer
66,ofdingle
66,bay
67,no
68,surely
68,not
68,canon
68,jack
68,smollett
68,senior
68,arch
68,deacon
68,of
68,the
68,diosces
68,of
68,stbothar
68,the
68,entrail
68,eating
68,heretic
68,of
68,bath
68,and
68,wells
69,no
69,i'm
69,talking
69,of
69,unspeakably
69,violent
69,jack
69,the
69,bull
69,buggeringbeast
69,killer
69,of
69,no
69,fixed
69,abode
70,are
70,you
70,sure
70,he's
70,the
70,sort
70,of
70,chap
70,we're
70,looking
70,for
71,yes
71,he
71,point
71,down
71,the
71,hill
71,and
71,here
71,he
71,comes
72,jack
72,large
73,what
73,do
73,you
73,think
73,you're
73,doing
74,large
74,jack
74,large
75,why
76,why
76,not
76,little
76,jack
76,then
77,well
77,because
77,large
77,jack
77,is
77,more
77,amusing
78,is
78,it
79,very
79,well
79,then
79,little
79,jack
80,you
80,wish
80,to
80,mock
80,my
80,size
81,no
81,no
81,no
81,no
81,no
81,no
81,of
81,course
81,not
81,erm
81,innkeeper
81,some
81,more
81,beer
81,six
81,large
81,beers
82,and
82,another
82,large
82,beer
83,let
83,us
83,then
83,go
83,on
83,to
83,the
83,plan
84,the
84,plan
84,the
84,plan
85,but
85,first
85,a
85,motto
85,for
85,our
85,enterprise
85,blessed
85,are
85,the
85,meek
85,for
85,theyshall
85,be
85,slaughtered
86,wait
86,you've
86,forgotten
86,the
86,plan
87,i
87,thought
87,that
87,was
87,the
87,plan
88,lets
88,get
88,those
88,meek
88,bastards
88,now
89,quiet
90,who
90,wants
90,quiet
90,i
90,want
90,chaos
91,and
91,slaughter
92,yeah
92,huh
93,mercilessly
93,crushed
93,under
93,foot
94,silence
95,silence
95,for
95,the
95,word
95,of
95,the
95,lord
96,for
96,christs
96,sake
96,lets
96,hear
96,the
96,plan
97,the
97,plan
97,the
97,plan
98,very
98,well
98,the
98,plan
98,is
98,simple
99,down
99,with
99,the
99,plan
100,well
100,it's
100,cunning
100,in
100,its
100,simplicity
100,tonight
100,i
100,ride
100,for
100,home
101,i
101,say
101,strike
101,now
101,while
101,the
101,iron
101,is
101,hot
102,but
102,it
102,isn't
102,hot
103,isn't
103,it
104,no
104,it's
104,just
104,warming
104,up
104,but
104,when
104,it
104,is
104,hot
104,we
104,will
104,strike
105,what
105,are
105,we
105,going
105,to
105,have
105,to
105,wait
105,till
105,summer
106,no
106,no
106,when
106,the
106,iron
106,is
106,hot
107,what
107,iron
108,never
108,mind
108,we
108,are
108,all
108,agreed
108,i
108,shall
108,send
108,for
108,you
108,all
109,how
110,well
110,by
110,a
110,message
110,a
110,sign
111,what
111,sort
111,of
111,sign
112,well
112,something
112,black
112,probably
113,black
113,pudding
114,not
114,quite
115,a
115,messenger
115,with
115,the
115,black
115,death
115,perhaps
116,yes
116,thats
116,better
117,he
117,means
117,to
117,kill
117,us
118,no
118,no
118,i
118,mean
118,a
118,messenger
118,with
118,black
118,hair
119,ahhhh
119,a
119,black
119,headed
119,messenger
120,aye
121,and
121,when
121,he
121,comes
121,to
121,you
121,drop
121,whatever
121,you
121,are
121,doing
121,and
121,speed
121,withall
121,haste
121,to
121,jaspers
121,tavern
122,ah
122,i
122,know
122,it
122,well
122,how
122,is
122,old
122,jasper
122,these
122,days
123,dead
124,how
125,i
125,killed
125,him
126,from
126,there
126,i
126,shall
126,take
126,you
126,to
126,the
126,castle
126,where
126,we
126,shall
126,capture
126,theking
126,and
126,the
126,queen
126,and
126,the
126,prince
127,and
127,then
127,i
127,will
127,say
127,to
127,them
127,he
127,rises
127,the
127,kingdom
127,of
127,albion
127,isours
127,you
127,are
127,doomed
127,to
127,lives
127,of
127,exile
127,get
127,out
128,exile
129,why
129,don't
129,we
129,just
129,kill
129,them
130,wait
130,till
130,i
130,sen
130,the
130,sign
131,if
131,i
131,get
131,a
131,messenger
131,with
131,black
131,heads
131,all
131,over
131,him
131,i'll
131,kill
131,theugly
131,bastard
132,because
132,the
132,black
132,adder
132,gives
132,you
132,his
132,word
133,wd:we
133,want
133,your
133,word
133,not
133,this
133,black
133,adder
133,fellows
134,oh
134,i
134,see
135,and
135,when
135,all
135,is
135,done
135,the
135,black
135,seal
135,shall
135,rule
135,england
136,all
136,for
136,one
137,and
137,each
137,man
137,for
137,himself
138,you're
138,in
138,a
138,merry
138,mood
138,my
138,lord
139,tes
139,no
139,one
139,can
139,stop
139,me
139,now
140,no
140,one
141,no
141,no
141,one
141,except
141,perhaps
141,no
141,not
141,even
141,him
142,and
142,who
142,might
142,that
142,be
142,my
142,lord
143,well
143,there
143,was
143,a
143,man
143,philip
143,of
143,bergundy
143,known
143,to
143,his
143,enemies
143,as
143,the
143,hawk
143,we
143,were
143,deadly
143,childhood
143,rivals
143,although
143,of
143,course
143,inthose
143,days
143,he
143,was
143,known
143,as
143,the
143,thrush
143,but
143,no
143,ones
143,heard
143,of
143,him
143,foryears
143,well
143,come
143,on
143,lets
143,go
143,we've
143,got
143,work
143,to
143,do
144,erm
144,no
144,not
144,really
145,oh
145,my
145,god
145,philip
145,of
145,bergundy
146,the
146,hawk
147,but
147,your
147,horse
147,used
147,to
147,be
147,a
147,huge
147,brown
148,oh
148,yes
148,thats
148,the
148,one
148,well
148,its
148,been
148,very
148,good
148,to
148,see
148,you
148,erm
148,phil
149,this
149,time
149,not
149,fast
149,enough
150,what
150,do
150,you
150,want
150,with
150,me
151,i'll
151,tell
151,you
151,later
152,i
152,return
152,at
152,last
152,after
152,fifteen
152,years
153,and
153,what
153,have
153,you
153,been
153,up
153,to
154,waiting
154,plotting
154,nurturing
154,my
154,hatred
154,and
154,planning
154,my
154,revenge
155,ah
155,so
155,you've
155,kept
155,yourself
155,busy
156,yes
156,fifteen
156,years
156,of
156,living
156,in
156,france
156,teaches
156,a
156,man
156,to
156,hate
156,fifteenyears
156,of
156,wearing
156,perfume
156,fifteen
156,years
156,of
156,eating
156,frogs
156,fifteen
156,years
156,ofsaying
156,pardon
156,and
156,all
156,because
156,of
156,you
157,but
157,surely
157,the
157,scenery
158,i
158,never
158,went
158,outside.i
158,couldn't
158,stand
158,the
158,smell
159,what
159,has
159,all
159,this
159,got
159,to
159,do
159,with
159,me
160,because
160,edmund
160,its
160,going
160,to
160,take
160,you
160,fifteen
160,years
160,to
160,die
161,fifteen
161,years
162,yes
163,how
164,i
164,think
164,it
164,would
164,be
164,more
164,amusing
164,if
164,you
164,found
164,out
164,for
164,yourself
164,letus
164,just
164,say
164,that
164,it
164,has
164,something
164,to
164,do
164,with
164,snails
165,oh
165,my
165,god
165,where
165,are
165,you
165,going
166,why
166,to
166,kill
166,the
166,royal
166,family
166,and
166,claim
166,the
166,throne
166,that
166,isn't
166,mine
166,byright
167,dear
167,lord
167,who
167,made
167,all
167,the
167,birds
167,and
167,the
167,bees
167,and
167,the
167,snails
167,presumably
167,please
167,help
167,me
167,a
167,little
167,animal
167,in
167,my
167,dispair
167,i
167,have
167,been
167,asinner
167,but
167,from
167,now
167,on
167,i
167,intend
167,to
167,follow
167,the
167,path
167,of
167,the
167,saints
167,particularly
167,the
167,very
167,religious
167,ones
167,in
167,the
167,name
167,of
167,the
167,father
167,the
167,sonand
167,of
167,the
167,holy
167,ghost
167,amen
168,what
169,amen
169,i
169,said
169,i'm
169,sorry
169,did
169,i
169,get
169,it
169,wrong
169,a
169,scruffy
169,prisonerapproaches
169,edmund
169,i
169,haven't
169,heard
169,that
169,word
169,in
