line,word
1,edmund
1,blackadderb
1,baldricks
1,percy
1,bysshe
1,shelleyk
1,kateb
1,bob
1,n
1,nursief
1,father
1,of
1,katem
1,melchettq
1,queen
1,elizabeth
1,iw
1,wisewomanf
1,lord
1,flashheartd
1,doctor
1,leechc
1,young
1,crone
2,father
2,i
2,must
2,speak
2,i
2,can
2,be
2,silent
2,no
2,longer
2,all
2,day
2,long
2,you
2,muttered
2,to
2,yourself
2,gibbered
2,dribbled
2,moaned
2,and
2,bat
2,your
2,head
2,against
2,the
2,wall
2,yelling
2,i
2,want
2,to
2,die
2,now
2,you
2,may
2,say
2,i'm
2,leaping
2,to
2,conclusions
2,but
2,you're
2,not
2,completely
2,happy
2,are
2,you
2,it's
2,mother
2,isn't
2,it
2,f
2,no
2,it
2,is
2,not.k
2,you're
2,brooding
2,over
2,her
2,death
2,aren't
2,you
2,f
2,kate
2,for
2,the
2,final
2,time
2,your
2,mother
2,is
2,not
2,dead
2,she's
2,run
2,off
2,with
2,your
2,uncle
2,henry.k
2,dear
2,father
2,i
2,know
2,you
2,only
2,say
2,such
2,things
2,to
2,comfort
2,me.f
2,your
2,mother
2,is
2,alive
2,and
2,well
2,and
2,living
2,in
2,droitwich
2,it
2,is
2,not
2,her
2,i
2,brood
2,over
2,i'm
2,sad
2,because
2,my
2,darling
2,our
2,poverty
2,has
2,now
2,reached
2,such
2,extremes
2,that
2,i
2,can
2,no
2,longer
2,afford
2,to
2,keep
2,us
2,i
2,must
2,look
2,to
2,my
2,own
2,dear
2,tiny
2,darling
2,to
2,sustain
2,me
2,in
2,my
2,frail
2,dotage.k
2,but
2,father
2,surely
2,f
2,yes
2,kate
2,i
2,want
2,you
2,to
2,become
2,a
2,prostitute.k
2,father
2,f
2,do
2,you
2,defy
2,me
2,k
2,but
2,indeed
2,i
2,do
2,for
2,it
2,is
2,better
2,to
2,die
2,poor
2,than
2,to
2,live
2,in
2,shame
2,and
2,ignominy.f
2,no
2,it
2,isn't.k
2,i'm
2,young
2,and
2,strong
2,and
2,clever
2,my
2,nose
2,is
2,pretty
2,i
2,shall
2,find
2,another
2,way
2,to
2,earn
2,us
2,a
2,living.f
2,oh
2,please
2,go
2,on
2,the
2,game
2,it
2,is
2,a
2,steady
2,job
2,and
2,you'd
2,be
2,working
2,from
2,home.k
2,goodbye
2,father
2,i
2,shall
2,go
2,to
2,london
2,disguise
2,my
2,self
2,as
2,a
2,boy
2,and
2,seek
2,my
2,fortune
2,f
2,but
2,why
2,go
2,all
2,the
2,way
2,to
2,london
2,when
2,you
2,can
2,make
2,a
2,fortune
2,lying
2,on
2,your
2,back
3,nice
3,try
3,melchy
3,but
3,it
3,is
3,no
3,use
3,i'm
3,still
3,bored
3,m
3,i'm
3,very
3,sorry
3,madam
3,your
3,royal
3,father
3,used
3,to
3,be
3,very
3,amused
3,by
3,my
3,impersonation
3,of
3,columbus.q
3,you
3,don't
3,surprise
3,me
3,he
3,used
3,to
3,laugh
3,at
3,these
3,people
3,with
3,the
3,funny
3,faces
3,and
3,the
3,bells.m
3,ah
3,jesters
3,ma'm.q
3,no
3,lepers
3,where
3,is
3,edmund
3,these
3,days
3,m
3,ah
3,well
3,the
3,whisper
3,on
3,the
3,underground
3,grapevine
3,ma'm
3,is
3,that
3,lord
3,blackadder
3,is
3,spending
3,all
3,his
3,time
3,with
3,a
3,young
3,boy
3,in
3,his
3,service.q
3,oh
3,do
3,you
3,think
3,he
3,would
3,spend
3,more
3,time
3,with
3,me
3,if
3,i
3,was
3,a
3,boy
3,m
3,surely
3,not
3,madam.n
3,you
3,almost
3,were
3,a
3,boy
3,my
3,little
3,cherrypit.q
3,what
3,n
3,yeah
3,out
3,you
3,popped
3,out
3,of
3,your
3,mummies
3,pumpkin
3,and
3,everybody
3,shouting
3,it's
3,a
3,boy
3,it's
3,a
3,boy
3,and
3,somebody
3,said
3,but
3,it
3,hasn't
3,got
3,a
3,winkle
3,and
3,then
3,i
3,said
3,a
3,boy
3,without
3,a
3,winkle
3,god
3,be
3,praised
3,it
3,is
3,a
3,miracle
3,a
3,boy
3,without
3,a
3,winkle
3,and
3,then
3,sir
3,thomas
3,more
3,pointed
3,out
3,that
3,a
3,boy
3,without
3,a
3,winkle
3,is
3,a
3,girl
3,anyway
3,i
3,was
3,really
3,disappointed.m
3,oh
3,yes
3,well
3,you
3,see
3,he
3,was
3,a
3,very
3,perceptive
