line,word
1,hip
1,hip
1,ba
1,so
1,they're
1,all
1,dead
1,are
1,they
1,p
1,yep
1,all
1,three
1,drake
1,ethingham
1,farrowma
1,splendid
1,any
1,interesting
1,last
1,wordsp
1,well
1,farrow
1,was
1,rather
1,moving
1,my
1,lord
1,a
1,great
1,strong
1,man
1,he
1,stood
1,there
1,gaunt
1,and
1,noble
1,in
1,the
1,early
1,morning
1,mist
1,and
1,in
1,a
1,loud
1,clear
1,voice
1,he
1,cried
1,out
1,my
1,wife
1,might
1,have
1,bloddy
1,well
1,turned
1,up
1,ba
1,ha
1,she's
1,probably
1,shacked
1,up
1,with
1,some
1,new
1,pair
1,of
1,tights
1,already
1,right
1,well
1,unless
1,lord
1,percy
1,has
1,anything
1,to
1,add
1,you
1,lot
1,can
1,amuse
1,yourselves
1,in
1,whatever
1,foul
1,depraved
1,way
1,you
1,feel
1,fit
1,til
1,friday.mrp
1,amp
1,p
1,thank
1,you
1,sir.p
1,well
1,staff
1,eh
1,i've
1,got
1,a
1,few
1,notes
1,on
1,today's
1,show
1,on
1,the
1,whole
1,i
1,was
1,impressedba
1,they've
1,gone
1,percyp
1,eh
1,eh
1,eh
1,team
1,team.b
1,my
1,lord
1,there
1,is
1,a
1,lady
1,outside
1,to
1,see
1,you.ba
1,oh
1,is
1,she
1,pretty
1,b
1,i
1,don't
1,know
1,what
1,d'you
1,think
1,ba
1,well
1,i
1,don't
1,know
1,do
1,i
1,i
1,haven't
1,seen
1,her
1,yet
1,make
1,yourself
1,scarce
1,baldrick.b
1,oh
1,right.lf
1,good
1,evening
1,lord
1,blackadder.ba
1,well
1,it
1,certainly
1,is
1,now
1,perhaps
1,you'd
1,like
1,to
1,slip
1,into
1,something
1,more
1,comfortable.lf
1,no
1,my
1,lord
1,for
1,there
1,is
1,a
1,great
1,pain
1,in
1,my
1,heart.ba
1,it's
1,probably
1,indigestion
1,i'll
1,soon
1,take
1,your
1,mind
1,off
1,that.lf
1,it's
1,my
1,husband.ba
1,your
1,husband's
1,got
1,indigestion
1,well
1,he
1,won't
1,be
1,bothering
1,us
1,then.lf
1,no
1,he
1,dies
1,tomorrow.ba
1,oh
1,come
1,you
1,can't
1,die
1,of
1,indigestion
1,you're
1,over
1,dramatising.lf
1,he
1,is
1,to
1,be
1,executed
1,at
1,your
1,order
1,i
1,am
1,lady
1,farrow.ba
1,ah
1,and
1,what
1,exactly
1,did
1,you
1,want
1,of
1,me
1,lf
1,i
1,wish
1,to
1,see
1,my
1,husband
1,tonight.ba
1,ehe
1,not
1,really
1,possible
1,actually.lf
1,ba
1,excuse
1,me
1,just
1,a
1,second
1,baldrick
1,b
1,my
1,lord
1,ba
1,that
1,farrow
1,bloke
1,you
1,executed
1,today
1,are
1,you
1,sure
1,he's
1,dead
1,b
1,well
1,i
1,chopped
1,his
1,head
1,off
1,that
1,usually
1,does
1,the
1,trick.ba
1,yes
1,don't
1,get
1,clever
1,with
1,me
1,baldrick
1,i
1,just
1,thought
1,you
1,might
1,have
1,lopped
1,off
1,a
1,leg
1,or
1,something
1,by
1,mistake.b
1,no
1,the
1,thing
1,i
1,chopped
1,off
1,had
1,a
1,nose.ba
1,fine
1,yes
1,i'm
1,so
1,sorry
1,i've
1,just
1,been
1,consulting
1,my
1,legal
1,people
1,and
1,i'm
1,afraid
1,there
1,really
1,is
1,no
1,chance
1,of
1,a
1,meeting.lf
1,but
1,the
1,queen
1,told
1,me
1,it
1,would
1,be
1,allowed.ba
1,really
1,lf
1,yes
1,and
1,that
1,if
1,you
1,said
1,no
1,i
1,should
1,give
1,you
1,this.ba
1,eh
1,he
1,fine
1,fine
1,absolutely
1,why
1,not
2,right
2,baldrick
2,is
2,that
2,all
2,clear
2,b
2,yes
2,em
2,i've
2,killed
2,someone
2,i
2,shouldn't
2,have
2,killed
2,and
2,now
2,you
2,want
