line,word
1,coming
2,nope
3,it
3,will
3,be
3,a
3,once
3,in
3,a
3,lifetime
3,experience
4,no
4,it
4,won't
5,everybody's
5,going
6,don't
6,exaggerate
6,percy
6,i'm
6,not
6,going
6,mrs
6,miggins
6,from
6,the
6,pie
6,shop
6,isn't
6,going
7,oh
7,my
7,lord
7,you
7,are
7,cruel
7,you
7,know
7,perfectly
7,well
7,that
7,mrs
7,miggins
7,is
7,bedridden
7,from
7,the
7,nose
7,down
7,and
7,besides
7,she
7,is
7,honoring
7,the
7,occasion
7,in
7,her
7,own
7,special
7,way
7,by
7,baking
7,a
7,great
7,commemorative
7,pie
7,in
7,the
7,shape
7,of
7,an
7,enormous
7,pie
8,what
8,an
8,imagination
8,that
8,woman
8,has
9,oh
9,come
9,on
9,edmund
9,the
9,greatest
9,explorer
9,of
9,our
9,age
9,is
9,coming
9,home
9,the
9,streets
9,have
9,never
9,been
9,so
9,gay
9,women
9,are
9,laughing
9,children
9,are
9,singing
9,oh
9,look
9,there's
9,a
9,man
9,being
9,indecently
9,assaulted
9,by
9,nine
9,foreign
9,sailors
9,and
9,he's
9,still
9,got
9,a
9,smile
9,on
9,his
9,face
10,look
10,percy
10,the
10,return
10,of
10,sir
10,walter
10,ooh
10,what
10,a
10,big
10,ship
10,i've
10,got
10,raleigh
10,is
10,a
10,matter
10,of
10,supreme
10,indifference
10,to
10,me
11,look
11,if
11,you're
11,not
11,careful
11,all
11,the
11,children
11,will
11,dance
11,about
11,outside
11,your
11,window
11,singing
11,sourpuss
11,and
11,grumpy
11,face
11,and
11,you
11,wouldn't
11,want
11,that
11,now
11,would
11,you
12,i
12,believe
12,i
12,could
12,survive
12,it
12,now
12,percy
12,will
12,you
12,get
12,out
12,before
12,i
12,cut
12,off
12,your
12,head
12,scoop
12,out
12,the
12,insides
12,and
12,give
12,it
12,to
12,your
12,mother
12,as
12,a
12,vase
12,what
12,a
12,clot
12,the
12,most
12,absurdly
12,dressed
12,creature
12,in
12,christendom
12,with
12,one
12,exception
13,my
13,lord
14,baldrick
14,you
14,look
14,like
14,a
14,deer
15,thank
15,you
15,my
15,lord
15,you
15,look
15,a
15,bit
15,of
15,a
15,ducky
15,yourself
16,oh
16,god
16,what
16,do
16,you
16,want
17,well
17,i
17,was
17,wondering
17,if
17,i
17,might
17,have
17,the
17,afternoon
17,off
18,of
18,course
18,not
18,who
18,do
18,you
18,think
18,you
18,are
18,watt
18,tyler
18,you
18,can
18,have
18,the
18,afternoon
18,off
18,when
18,you
18,die
18,not
18,before
19,but
19,i
19,want
19,to
19,cheer
19,brave
19,sir
19,walter
19,home
19,oh
19,dear
19,sir
19,on
19,a
19,day
19,like
