line,word
1,i
1,must
1,say
1,edmund
1,it
1,was
1,jolly
1,nice
1,of
1,you
1,to
1,ask
1,me
1,to
1,share
1,your
1,breakfast
1,before
1,the
1,rigours
1,of
1,the
1,day
1,begin
2,well
2,it
2,is
2,said
2,percy
2,that
2,civilised
2,man
2,seeks
2,out
2,good
2,and
2,intelligent
2,company
2,so
2,that
2,through
2,learned
2,discourse
2,he
2,may
2,rise
2,above
2,the
2,savage
2,and
2,closer
2,to
2,god
3,yes
3,i've
3,heard
3,that
4,personally
4,however
4,i
4,like
4,to
4,start
4,the
4,day
4,with
4,a
4,total
4,dickhead
4,to
4,remind
4,me
4,i'm
4,best
5,beshrew
5,me
5,edmund
5,you're
5,in
5,good
5,fooling
5,this
5,morning
6,don't
6,say
6,beshrew
6,me
6,percy
6,only
6,stupid
6,actors
6,say
6,beshrew
6,me
7,oh
7,how
7,i
7,would
7,love
7,to
7,be
7,an
7,actor
7,i
7,had
7,a
7,great
7,talent
7,for
7,it
7,in
7,my
7,youth
7,i
7,was
7,the
7,man
7,of
7,a
7,thousand
7,faces
8,how'd
8,you
8,come
8,to
8,choose
8,the
8,ugly
8,mug
8,you've
8,got
8,now
8,then
9,hah
9,hah
9,tush
9,my
9,lord
10,and
10,don't
10,say
10,tush
10,either
10,it's
10,only
10,a
10,short
10,step
10,from
10,tush
10,to
10,hey
10,nonny
10,nonny
10,and
10,then
10,i'm
10,afraid
10,i'll
10,shall
10,have
10,to
10,call
10,the
10,police
10,well
10,god
10,pats
10,me
10,on
10,the
10,head
10,and
10,says
10,good
10,boy
10,edmund
11,my
11,lord
12,my
12,aunt
12,and
12,uncle
12,lord
12,and
12,lady
12,whiteadder
12,the
12,two
12,most
12,fanatical
12,puritans
12,in
12,england
12,have
12,invited
12,themselves
12,to
12,dinner
12,here
12,tonight
13,but
13,aren't
13,they
13,the
13,most
13,frightful
13,bores
14,yep
14,but
14,they
14,have
14,one
14,great
14,redeeming
14,feature
14,their
14,wallets
14,more
14,capacious
14,than
14,an
14,elephant's
14,scrotum
14,and
14,just
14,as
14,difficult
14,to
14,get
14,your
14,hands
14,on
14,at
14,least
14,until
14,now
14,for
14,tonight
14,they
14,wish
14,to
14,discuss
14,my
14,inheritance
15,hey
15,nonny
15,nonny
15,my
15,lord
15,good
15,news
16,baldrick
17,why
17,have
17,you
17,got
17,a
17,piece
17,of
17,cheese
17,tied
17,to
17,the
17,end
17,of
17,your
17,nose
18,to
18,catch
18,mice
18,my
18,lord
18,i
18,lie
18,on
18,the
18,floor
18,with
18,my
18,mouth
18,open
18,and
18,hope
18,they
18,scurry
18,in
19,and
19,do
19,they
20,not
20,yet
20,my
20,lord
21,well
21,i'm
21,not
21,surprised
21,your
21,breath
21,comes
21,straight
21,from
21,satan's
21,bottom
21,baldrick
21,the
21,only
21,sort
21,of
21,mouse
21,you're
21,going
21,to
21,catch
21,is
21,one
21,without
21,a
21,nose
22,that's
22,a
22,pity
22,because
22,the
22,nose
22,is
22,the
22,best
22,bit
22,on
22,a
22,mouse
23,any
23,bit
23,of
23,a
23,mouse
23,would
23,seem
23,like
23,luxury
23,compared
23,to
23,what
23,percy
23,and
23,i
23,must
23,eat
23,tonight
23,we
23,are
23,entertaining
23,puritan
23,vegetable
23,folk
23,balders
23,and
23,that
23,means
23,no
23,meat
24,in
24,that
24,case
24,i
24,shall
24,prepare
24,my
24,turnip
24,surprise
25,and
25,the
25,surprise
25,is
26,there's
26,nothing
26,else
26,in
26,it
26,except
26,the
26,turnip
27,so
27,in
27,other
27,words
27,the
27,turnip
27,surprise
27,would
27,be
27,a
27,turnip
28,oh
28,yeah
29,get
29,the
29,door
29,baldrick
29,get
29,the
29,door
30,well
30,now
30,if
30,things
30,go
30,as
30,planned
30,tonight
30,it
30,seems
30,congratulations
30,are
30,in
30,order
31,nice
31,try
31,percy
31,but
31,forget
31,it
31,you're
