line,word
1,edmund
1,blackadderm
1,lord
1,melchettq
1,queen
1,elizabeth
1,in
1,nursieb
1,baldrickp
1,lord
1,percyg
1,german
1,guardt
1,spanish
1,torturerl
1,prince
1,ludwig
1,the
1,indestructible
2,get
2,out
2,get
2,out
2,libidinous
2,swine
2,and
2,take
2,that
2,horse
2,slut
2,painted
2,strumpet
2,with
2,you
2,where
2,you'll
2,both
2,rot
2,in
2,the
2,filth
2,of
2,your
2,own
2,fornication
3,and
3,what
3,did
3,you
3,say
3,to
3,him
4,say
4,madam
4,i
4,said
4,nothing
4,i
4,simply
4,pulled
4,up
4,my
4,tights
4,and
4,jumped
4,out
4,the
4,privy
4,window
5,oh
5,edmund
5,you're
5,so
5,naughty
6,well
6,i
6,try
6,madam
6,and
6,ten
6,minutes
6,later
6,when
6,i've
6,got
6,my
6,breath
6,back
6,i
6,try
6,again
7,perhaps
7,now
7,we
7,can
7,turn
7,to
7,more
7,important
7,matters
7,of
7,state
8,oh
8,must
8,we
9,i
9,fear
9,so
9,ma'am
9,it's
9,a
9,tragic
9,case
9,my
9,old
9,tutor
9,lord
9,forest
9,his
9,son
9,has
9,been
9,kidnapped
9,and
9,he
9,begs
9,you
9,to
9,help
9,pay
9,the
9,ransom
10,edmund
10,what
10,would
10,you
10,say
11,well
11,as
11,you
11,know
11,madam
11,i've
11,had
11,experince
11,of
11,this
11,dreadful
11,situation
11,only
11,last
11,year
11,my
11,aunt
11,came
11,to
11,me
11,to
11,beg
11,for
11,help
11,in
11,the
11,ransom
11,of
11,my
11,uncle
11,ozrick
12,well
12,then
12,you
12,know
12,something
12,of
12,the
12,dreadful
12,pain
12,involved
13,indeed
13,i
13,do
13,and
13,can
13,suggest
13,no
13,better
13,answer
13,than
13,the
13,one
13,i
13,gave
13,to
13,her
14,which
14,was
15,get
15,stuffed
16,blackadder
16,you
16,would
16,jest
16,over
16,a
16,young
16,man's
16,life
17,for
17,young
17,man
17,read
17,young
17,idiot
17,look
17,anyone
17,stupid
17,enough
17,to
17,let
17,some
17,mustachioed
17,dago
17,come
17,up
17,to
17,them
17,in
17,a
17,corridor
17,say
17,excuse
17,me
17,meester
17,and
17,hit
17,them
17,over
17,the
17,head
17,with
17,a
17,big
17,stick
17,deserves
17,everything
17,they
17,get
18,oh
18,hallo
18,you're
18,in
18,good
18,fooling
18,this
18,morning
19,thank
19,you
19,baldrick
20,i
20,heard
20,quite
20,an
20,amusing
20,story
20,myself
20,the
20,other
20,day
21,oh
21,good
22,excuse
22,me
22,meister
23,yes
23,what
23,is
23,it
24,i
24,said
24,what
24,is
24,it
24,not
24,hit
24,me
24,hard
24,on
24,the
24,head
24,wi
25,you
25,know
25,melchy
25,i've
25,completely
25,changed
25,my
25,mind
25,about
25,that
25,forest
25,bloke
25,i
25,mean
25,he's
25,obviously
25,very
25,stupid
25,but
25,we
25,can't
25,go
25,around
25,punishing
25,people
25,for
25,that
25,can
25,we
26,certainly
26,not
26,ma'am
27,no
27,if
27,we
27,went
27,around
27,punishing
27,people
27,for
27,being
27,stupid
27,nursie
27,would
27,have
27,been
27,in
27,prison
27,all
27,her
27,life
28,a
28,very
28,piquant
28,observation
28,majesty
29,so
29,i
29,will
29,sign
29,this
29,ransom
29,but
29,it
29,must
29,be
29,the
29,last
29,absolutely
29,the
29,last
29,final
29,full
29,stop
29,never
29,again
29,cross
29,my
29,heart
29,and
29,hope
29,to
29,die
30,surely
30,not
30,hope
30,to
30,die
30,majesty
31,er
31,oh
31,alright
31,i'll
31,cross
31,that
31,out
31,er
31,here
31,you
31,are
31,sorry
31,about
31,the
31,smudge
32,thank
32,you
32,ma'am
33,excuse
33,me
33,meister
34,yes
35,oh
35,god
35,god
35,god
35,what
35,on
35,earth
35,was
35,i
35,drinking
35,last
35,night
35,my
35,head
35,feels
35,like
35,there's
35,a
35,frenchman
35,living
35,in
35,it
35,where
35,am
35,i
36,ooohhhh
37,who's
37,there
38,it
38,is
38,i
38,melchett
39,melchett
39,you
39,really
39,ought
39,to
39,get
39,this
39,house
39,of
39,yours
39,cleaned
39,up
39,you
39,know
39,it's
39,a
39,real
39,mess
40,this
40,is
40,no
40,time
40,for
40,jokes
40,blackadder
40,we've
40,been
40,kidnapped
41,oh
41,god
41,how
41,incredibly
41,embarrassing
42,as
42,private
42,parts
42,to
42,the
42,gods
42,are
42,we
42,they
42,play
42,with
42,us
42,for
42,their
42,sport
43,oh
43,god
43,who's
43,that
45,just
45,wait
45,a
45,minute
45,if
45,anyone
45,is
45,going
45,to
45,be
45,spoken
45,to
45,around
45,here
45,it's
45,going
45,to
45,be
45,me
45,alright
45,tell
45,him
45,melchy
46,certainly
46,parlo
46,con
46,lui
46,no
46,mio
46,parlo
46,con
46,lui
47,ah
47,bueno
47,el
47,je'fe
48,ah
48,that's
48,better
48,now
48,what's
48,he
48,saying
49,he
49,says
49,he
49,would
49,like
49,a
49,word
49,with
49,you
50,uh
50,huh
50,anything
50,else
51,yes
51,he
51,says
51,he
51,would
51,like
51,to
51,torture
51,you
51,as
51,well
52,right
52,now
52,am
52,i
52,by
52,any
52,chance
52,addressing
52,a
52,senior
52,dignitary
52,of
52,the
52,spanish
52,inquisition
53,te
53,gusta
53,la
53,de
53,la
53,inquisicion
54,good
54,because
54,if
54,i
54,am
54,i
54,wish
54,to
54,make
54,it
54,quite
54,clear
54,that
54,i
54,am
54,prepared
54,to
54,tell
54,you
54,absolutely
54,anything
55,habla
55,puer
56,no
56,speako
56,dago
56,i
56,demand
56,to
56,see
56,the
56,british
56,ambassador
56,understand
57,necesito
57,silencio
57,para
57,comesa
58,oh
58,for
58,god's
58,sake
58,look
58,how
58,can
58,you
58,question
58,me
58,if
58,you
58,don't
58,speak
58,english
59,no
59,yo
59,pregunto
59,las
59,questionnes
60,alright
60,let's
60,start
60,with
60,the
60,basics
60,english
60,is
60,a
60,non
60,inflected
60,indo
60,european
60,language
60,derived
60,from
60,dialects
60,of
61,how's
61,that
62,percy
62,who's
62,queen
63,whoops
63,butterfingers
64,ah
64,so
64,i
64,win
64,again
65,yes
65,well
65,done
65,your
65,majesty
66,there's
66,definitely
66,been
66,no
66,sign
66,of
66,edmund
67,i
67,fear
67,not
67,ma'am
68,why
68,he
68,vanished
68,simply
68,vanished
69,like
69,an
69,old
69,oak
69,table
70,vanished
70,lord
70,percy
70,not
70,varnished
71,forgive
71,me
71,my
71,lady
71,but
71,my
71,uncle
71,bertram's
71,old
71,oak
71,table
71,completely
71,vanished
71,twas
71,on
71,the
71,night
71,of
71,the
71,great
71,stepney
71,fire
71,and
71,on
71,that
71,same
71,terrible
71,night
71,his
71,house
71,and
71,all
71,his
71,other
71,things
71,completely
71,vanished
71,too
71,so
71,did
71,he
71,in
71,fact
71,it
71,was
71,a
71,most
71,perplexing
71,mystery
72,lord
72,percy
73,yes
74,it's
74,up
74,to
74,you
74,either
74,you
74,can
74,shut
74,up
74,or
74,you
74,can
74,have
74,your
74,head
74,cut
74,off
75,i'll
75,shut
75,up
76,bastardo
77,baa
77,taar
77,do
77,barrister
78,bastardo
79,embarrassing
79,you're
79,embarrassing
79,i'm
79,embarrassing
80,er
80,er
80,rogering
81,er
81,pregnant
82,baby
82,baby
83,bathwater
84,sounds
84,like
84,oh
84,bastard
85,si
85,si
85,no
85,este
85,terminado
85,hijo
85,hijo
86,donkey
87,padre
88,big
88,bastard
89,hijo
90,little
90,bastard
91,padre
92,man
93,hijo
94,boy
94,man
94,father
94,oh
94,son
94,i'm
94,a
94,bastard's
94,son
95,perra
96,thirsty
96,thirsty
96,bastard
97,thirsty
97,barking
97,bastard
97,oh
97,dog
97,dog
97,right
97,dog
98,woman
99,dog
100,woman
100,dog
100,bitch
100,i'm
100,a
100,bastard
100,son
100,of
100,a
100,bitch
101,si
101,si
102,in
102,that
102,case
102,you
102,are
102,a
102,fornicating
102,babboon
103,que
104,oh
104,dear
104,er
104,you
105,tu
105,yo
106,you
106,er
106,fornicating
106,yes
106,i
106,can't
106,really
106,do
106,it
106,in
106,this
106,box
107,tus
107,testiculos
108,my
108,um
108,ah
108,yes
108,those
108,yes
109,sobre
