line,word
1,mrs
1,migginsb
1,baldricke
1,edmund
1,blackadderp
1,pitt
1,the
1,younger
1,i
1,ivor
1,biggunh
1,vincent
1,hannat
1,sir
1,talbot
1,buxomlyg
1,prince
1,george
2,well
2,mrs
2,miggins
2,at
2,last
2,we
2,can
2,return
2,to
2,sanity
2,the
2,hustings
2,are
2,over
2,the
2,bunting
2,is
2,down
2,the
2,mad
2,hysteria
2,is
2,at
2,an
2,end
2,after
2,the
2,chaos
2,of
2,a
2,general
2,election
2,we
2,can
2,return
2,to
2,normal
3,oh
3,has
3,there
3,been
3,a
3,general
3,election
3,then
3,mr
3,blackadder
4,indeed
4,there
4,has
4,mrs
4,miggins
5,oh
5,well
5,i
5,never
5,heard
5,about
5,it
6,well
6,of
6,course
6,you
6,didn't
6,you're
6,not
6,eligible
6,to
6,vote
7,well
7,why
7,not
8,because
8,virtually
8,no
8,one
8,is
8,women
8,peasants
8,chimpanzees
8,lunatics
8,lords
9,that's
9,not
9,true
9,lord
9,nelson's
9,got
9,a
9,vote
10,he's
10,got
10,a
10,boat
10,baldrick
10,marvelous
10,thing
10,democracy
10,look
10,at
10,manchester
10,population
10,"60,000"
10,electoral
10,roll
10,3
11,well
11,i
11,may
11,have
11,the
11,brain
11,the
11,size
11,of
11,a
11,sultana
12,correct
13,but
13,it
13,hardly
13,seems
13,fair
13,to
13,me
14,of
14,course
14,it's
14,not
14,fair
14,and
14,a
14,damn
14,good
14,thing
14,too
14,give
14,the
14,like
14,of
14,baldrick
14,the
14,vote
14,and
14,we'll
14,be
14,back
14,to
14,cavorting
14,druids
14,death
14,by
14,stoning
14,and
14,dung
14,for
14,dinner
15,oh
15,i'm
15,having
15,dung
15,for
15,dinner
15,tonight
16,so
16,who
16,are
16,they
16,electing
16,when
16,they
16,have
16,these
16,elections
17,ah
17,the
17,same
17,old
17,fat
17,tory
17,landowners
17,who
17,get
17,made
17,mps
17,when
17,they
17,reach
17,a
17,certain
17,weight
17,raving
17,revolutionaries
17,who
17,think
17,that
17,just
17,because
17,they
17,do
17,a
17,day's
17,work
17,that
17,somehow
17,gives
17,them
17,the
17,right
17,to
17,get
17,paid
17,basically
17,it's
17,a
17,right
17,old
17,mess
17,toffs
17,at
17,the
17,top
17,plebs
17,at
17,the
17,bottom
17,and
17,me
17,in
17,the
17,middle
17,making
17,a
17,fat
17,pile
17,of
17,cash
17,out
17,of
17,both
17,of
17,them
18,oh
18,you'd
18,better
18,watch
18,out
18,mr
18,blackadder
18,things
18,are
