line,word
1,oh
1,la
1,la
2,ah
2,good
2,morning
2,mrs
2,miggins
3,bonjour
3,monsieur
4,what
5,bonjour
5,monsieur
5,it's
5,french
6,so
6,is
6,eating
6,frogs
6,cruelty
6,to
6,geese
6,and
6,urinating
6,in
6,the
6,street
6,but
6,that's
6,no
6,reason
6,to
6,inflict
6,it
6,on
6,the
6,rest
6,of
6,us
7,but
7,french
7,is
7,all
7,the
7,fashion
7,my
7,coffee
7,shop
7,is
7,full
7,of
7,frenchies
7,and
7,it's
7,all
7,because
7,of
7,that
7,wonderful
7,scarlet
7,pimpernel
8,the
8,scarlet
8,pimpernel
8,is
8,gt
8,not
8,lt
8,wonderful
8,mrs
8,miggins
8,there
8,is
8,no
8,reason
8,whatsoever
8,to
8,admire
8,someone
8,for
8,filling
8,london
8,with
8,a
8,load
8,of
8,garlic
8,chewing
8,french
8,toffs
8,crying
8,oh
8,la
8,la
8,and
8,looking
8,for
8,sympathy
8,all
8,the
8,time
8,just
8,because
8,their
8,fathers
8,had
8,their
8,heads
8,cut
8,off
9,we
9,don't
9,serve
9,gt
9,pies
9,lt
9,anymore
9,my
9,french
9,clientele
9,consider
9,gt
9,pies
9,lt
9,uncouth
10,i
10,hardly
10,think
10,that
10,a
10,nation
10,that
10,eats
10,snails
10,and
10,would
10,go
10,to
10,bed
10,with
10,the
10,kitchen
10,sink
10,if
10,it
10,put
10,on
10,a
10,tutu
10,is
10,in
10,any
10,position
10,to
10,preach
10,couthness
11,well
11,today's
11,hot
11,choice
11,is
11,chicken
11,pimpernel
11,in
11,a
11,scarlet
11,sauce
11,scarlet
11,chicken
11,in
11,a
11,pimpernel
11,sauce
11,or
11,huge
11,suspicious
11,looking
11,sausages
11,in
11,a
11,scarlet
11,pimpernel
11,sauce
12,what
12,exactly
12,is
12,scarlet
12,pimpernel
12,sauce
13,you
13,take
13,a
13,large
13,ripe
13,frog
13,squeeze
13,it
14,yes
14,yes
14,all
14,right
15,ah
15,bonjour
15,monsieur
16,sod
16,off
17,oh
17,sir
17,poor
17,little
17,mildred
17,the
17,cat
17,what's
17,he
17,ever
17,done
17,to
17,you
18,it
18,is
18,the
