line,word
1,you'd
1,like
1,to
1,book
1,a
1,table
1,for
1,three
1,by
1,the
1,window
1,for
1,9.30
1,pm
1,not
1,too
1,near
1,the
1,band
1,in
1,the
1,name
1,of
1,obel
1,ointment
1,fungentula
1,yes
1,yes
1,i
1,think
1,you
1,might
1,have
1,the
1,wrong
1,number
1,alright
2,rather
2,close
2,line
2,there
2,eh
2,sir
2,that
2,phone
2,system
2,is
2,a
2,shambles
2,no
2,wonder
2,we
2,haven't
2,had
2,any
2,orders
3,oh
3,on
3,the
3,contrary
3,george
3,we've
3,had
3,plenty
3,of
3,orders
3,we
3,have
3,orders
3,for
3,six
3,meters
3,of
3,hungarian
3,crushed
3,velvet
3,curtain
3,material
3,four
3,rock
3,salmon
3,and
3,a
3,ha'pence
3,of
3,chips
3,and
3,a
3,cab
3,for
3,a
3,mr
3,redgrave
3,picking
3,up
3,from
3,14
3,arnost
3,grove
3,raintop
3,bell
4,rather
4,we
4,don't
4,want
4,those
4,sort
4,of
4,orders
4,we
4,want
4,orders
4,to
4,deck
4,old
4,glory
4,when
4,are
4,we
4,going
4,to
4,give
4,fritz
4,a
4,taste
4,of
4,our
4,british
4,spunk
5,george
5,please
5,no
5,one
5,is
5,more
5,anxious
5,to
5,advance
5,than
5,i
5,am
5,but
5,until
5,i
5,get
5,these
5,communication
5,problems
5,sorted
5,out
5,i'm
5,afraid
5,we're
5,stuck
5,captain
5,blackadder
5,speaking
5,no
5,i'm
5,afraid
5,the
5,line's
5,very
5,cclllffffhhtttt
6,hello
6,hello
6,captain
6,blackadder
6,hello
7,schenll
7,schenll
7,die
7,koppeltop
7,i
7,said
7,there's
7,a
7,terrible
7,line
7,at
7,my
7,end
7,you
7,are
7,to
7,advance
7,on
7,the
7,enemy
7,at
7,once
7,a
7,wandering
7,minstral
7,eye
7,in
7,the
7,on
7,gail
7,force
7,eight
8,i
8,say
8,come
8,on
8,sir
8,what's
8,the
8,message
8,i'm
8,on
8,tenderhooks
8,do
8,tell
9,well
9,as
9,far
9,as
9,i
9,can
9,tell
9,the
9,message
9,was
9,he's
9,got
9,a
9,terrible
9,lion
9,up
9,his
9,end
9,so
9,there's
9,an
9,advantage
9,to
9,an
9,enema
9,at
9,once
10,damn
11,message
11,from
11,hq
11,sir
12,ah
12,now
12,this
12,should
12,be
12,it
12,a
12,telegram
12,ordering
12,an
12,advance
13,ummm
13,yes
13,i'm
13,afraid
13,not
13,george
13,it
13,is
13,a
13,telegram
13,it
13,is
13,ordering
13,an
13,advance
13,but
13,it
13,seems
13,to
13,be
13,addressed
13,to
