line,word
1,care
1,for
1,a
1,smoke
1,sir
2,no
2,thank
2,you
2,i'm
3,private
4,oh
4,thank
4,you
4,sir
5,oh
5,dash
5,and
5,blast
5,all
5,this
5,hanging
5,about
5,sir
5,i'm
5,as
5,bored
5,as
5,a
5,pacifist
5,pistol
5,when
5,are
5,we
5,going
5,to
5,see
5,some
5,action
6,well
6,george
6,i
6,strongly
6,suspect
6,that
6,your
6,long
6,wait
6,for
6,certain
6,death
6,is
6,nearly
6,at
6,an
6,end
6,surely
6,you
6,must
6,have
6,noticed
6,something
6,in
6,the
6,air
7,well
7,yes
7,of
7,course
7,but
7,i
7,thought
7,that
7,was
7,private
7,baldrick
8,unless
8,i'm
8,very
8,much
8,mistaken
8,soon
8,we
8,will
8,at
8,last
8,be
8,making
8,the
8,final
8,big
8,push
8,that
8,one
8,we've
8,been
8,so
8,looking
8,forward
8,to
8,all
8,these
8,years
9,well
9,hurrah
9,with
9,highly
9,polished
9,brass
9,knobs
9,on
9,about
9,time
10,hello
10,the
10,somme
10,public
10,baths
10,no
10,running
10,shouting
10,or
10,piddling
10,in
10,the
10,shallow
10,end
10,ah
10,captain
10,darling
10,tomorrow
10,at
10,dawn
10,oh
10,excellent
10,see
10,you
10,later
10,then
10,bye
10,gentlemen
10,our
10,long
10,wait
10,is
10,nearly
10,at
10,an
10,end
10,tomorrow
10,morning
10,general
10,insanity
10,melchett
10,invites
10,you
10,to
10,a
10,mass
10,slaughter
10,we're
10,going
10,over
10,the
10,top
11,well
11,huzzah
11,and
11,hurrah
11,god
11,save
11,the
11,king
11,rule
11,britannia
11,and
11,boo
11,sucks
11,the
11,hairy
11,hun
12,or
12,to
12,put
12,it
12,more
12,precisely
12,you're
12,going
12,over
12,the
12,top
12,i'm
12,getting
12,out
12,of
12,here
13,oh
13,now
13,come
13,on
13,cap
13,it
13,may
13,be
13,a
13,bit
13,risky
13,but
13,it
13,sure
13,is
13,bloomin'ell
13,worth
13,it
13,gov'nor
14,how
14,could
14,it
14,possibly
14,be
14,worth
14,it
14,we've
14,been
14,sitting
14,here
14,since
14,christmas
14,1914
14,during
14,which
14,millions
14,of
14,men
14,have
14,died
14,and
14,we've
14,advanced
14,no
14,further
14,than
14,an
14,asthsmatic
14,ant
14,with
14,some
14,heavy
14,shopping
15,well
15,but
15,this
15,time
15,i'm
15,absolutely
15,pos
15,we'll
15,break
15,through
15,it's
15,ice
15,cream
15,in
15,berlin
15,in
15,15
15,days
16,or
16,ice
16,cold
16,in
16,no
16,man's
16,land
16,in
16,15
16,seconds
16,no
16,the
16,time
16,has
16,come
16,to
16,get
16,out
16,of
16,this
16,madness
16,once
16,and
16,for
16,all
17,what
17,madness
17,is
17,that
18,for
18,god's
18,sake
18,george
18,how
18,long
18,have
18,you
18,been
18,in
18,the
18,army
19,oh
19,me
19,i
19,joined
19,up
19,straight
19,away
19,sir
19,august
19,the
19,4th
19,1914
19,gah
19,what
19,a
19,day
19,that
19,was
19,myself
19,and
19,the
19,rest
19,of
19,the
19,fellows
19,leapfrogging
19,down
19,to
19,the
19,cambridge
19,recruiting
19,office
19,and
19,then
19,playing
19,tiddlywinks
19,in
19,the
19,queue
19,we
19,had
19,hammered
19,oxford's
19,tiddlywinkers
19,only
19,the
19,week
19,before
19,and
19,there
19,we
19,were
19,off
19,to
19,hammer
19,the
19,boche
19,crashingly
19,superb
19,bunch
19,of
19,blokes
19,fine
19,clean
19,limbed
19,even
19,their
19,acne
19,had
19,a
19,strange
19,nobility
19,about
19,it
20,yes
20,and
20,how
20,are
20,all
20,the
20,boys
20,now
21,well
21,er
21,jacko
21,and
21,the
21,badger
21,bought
21,it
21,at
21,the
21,first
21,ypres
21,front
21,unfortunately
21,quite
21,a
21,shock
21,that
21,i
21,remember
21,bumfluff's
21,house
21,master
21,wrote
21,and
21,told
21,me
21,that
21,sticky
21,had
21,been
21,out
21,for
21,a
21,duck
21,and
21,the
21,gubber
21,had
