line,word
1,history
1,has
1,known
1,many
1,great
1,liars
1,copernicus
1,goebbels
1,st
1,ralph
1,the
1,liar
1,but
1,there
1,have
1,been
1,none
1,quite
1,so
1,vile
1,as
1,the
1,tudor
1,king
1,henry
1,vii
1,it
1,was
1,he
1,who
1,rewrote
1,history
1,to
1,portray
1,his
1,precessor
1,richard
1,iii
1,as
1,a
1,deformed
1,maniac
1,who
1,killed
1,his
1,nephews
1,in
1,the
1,tower
1,but
1,the
1,real
1,truth
1,is
1,that
1,richard
1,was
1,a
1,kind
1,and
1,thoughtful
1,man
1,who
1,cherished
1,his
1,young
1,wards
1,in
1,particular
1,richard
1,duke
1,of
1,york
1,who
1,grew
1,into
1,a
1,big
1,strong
1,boy
2,hurray
2,hurray
2,absolutely
2,hurray
3,who
3,is
3,that
4,i
4,know
4,not
4,my
4,lord
4,i'll
4,ask
4,my
4,son
4,harry
4,who
4,is
4,that
5,it
5,is
5,your
5,other
5,son
5,my
5,lord
6,it
6,is
6,my
6,other
6,son
6,my
6,lord
7,fights
7,he
7,with
7,us
7,on
7,the
7,morrow
8,what's
8,his
8,name
9,edmund
10,edna
10,fight
10,you
10,with
10,us
10,on
10,the
10,morrow
11,er
11,oh
11,goodness
11,no
11,no
11,i
11,thought
11,i'd
11,fight
11,with
11,the
11,enemy
12,you're
12,er
12,not
12,putting
12,him
12,anywhere
12,near
12,me
12,are
12,you
13,no
13,no
13,he'll
13,be
13,somewhere
13,amongst
13,the
13,rabble
14,oh
14,arrow
14,fodder
15,precisely
16,yes
16,what
16,a
16,little
16,turd
17,ah
17,percy
17,you
17,see
17,how
17,the
17,king
17,picks
17,me
17,out
17,for
17,special
17,greeting
18,no
18,my
18,lord
19,i
19,saw
19,it
19,my
19,lord
20,ah
20,and
20,what
20,is
20,your
20,name
20,little
20,fellow
21,my
21,name
21,is
21,baldrick
21,my
21,lord
22,ah
22,then
22,i
22,shall
22,call
22,you
22,baldrick
23,and
23,i
23,shall
23,call
23,you
23,my
23,lord
23,my
23,lord
24,mmm
24,i
24,like
24,the
24,cut
24,of
24,your
24,jib
24,young
24,fellow
24,m'lad
24,how
24,would
24,you
24,like
24,to
24,be
24,my
24,squire
24,in
24,the
24,battle
24,to
24,morrow
25,it
25,will
25,be
25,a
25,great
25,day
25,to
25,morrow
25,for
25,we
25,nobles
26,well
26,not
26,if
26,we
26,lose
26,percy
26,if
26,we
26,lose
26,i'll
26,be
26,chopped
26,to
26,pieces
26,my
26,arms
26,will
26,end
26,up
26,at
26,essex
26,my
26,torso
26,in
26,norfolk
26,and
26,my
26,genitalia
26,stuck
26,up
26,a
26,tree
26,somewhere
26,in
26,rutland
27,with
