line,word
1,in
1,1486
1,the
1,second
1,year
1,of
1,richard
1,iv's
1,historic
1,reign
1,and
1,also
1,the
1,year
1,in
1,which
1,the
1,egg
1,replaced
1,the
1,worm
1,as
1,the
1,lowest
1,form
1,of
1,currency
1,king
1,richard
1,departed
1,england
1,on
1,a
1,crusade
1,against
1,the
1,turks
2,as
2,the
2,good
2,lord
2,said
2,love
2,thy
2,neighbour
2,as
2,thyself
2,unless
2,he's
2,turkish
2,in
2,which
2,case
2,kill
2,the
2,bastard
3,he
3,left
3,behind
3,him
3,his
3,beloved
3,son
3,prince
3,harry
3,to
3,rule
3,as
3,regent
3,in
3,his
3,stead
4,farewell
4,dear
4,harry
5,farewell
5,father
6,and
6,his
6,slimy
6,son
6,edmund
6,to
6,do
6,the
6,tasks
6,most
6,befitting
6,him
7,edward
8,my
8,lord
8,with
8,the
8,king
8,gone
9,hmmm
9,of
9,course
9,at
9,last
9,a
9,chance
9,for
9,some
9,real
9,power
10,twelve
10,months
10,later
11,on
11,onward
11,i
11,want
11,you
11,scum
11,back
11,to
11,the
11,castle
11,by
11,sundown
11,or
11,you'll
11,all
11,be
11,slaughtered
11,onward
12,come
12,on
12,come
12,on
12,keep
12,going
12,i've
12,just
12,about
12,had
12,enough
12,of
12,you
13,bbbbaaaaa
14,shut
14,up
15,bbaaaa
16,come
16,on
16,no
16,that's
16,not
16,the
16,way
16,you're
16,going
16,stop
16,where
16,are
16,you
16,going
16,no
16,not
16,away
16,from
16,the
16,castle
17,bbbaaa
18,shut
18,up
19,splendid
19,splendid
20,now
20,look
20,you're
20,not
20,supposed
20,to
20,be
20,here
20,that's
20,far
20,enough
20,now
20,get
20,out
20,if
20,i
20,could
20,get
20,my
20,hands
20,on
20,that
20,bastard
20,brother
20,harry
21,ah
21,edmund
21,edmund
21,ah
21,there
21,you
21,are
21,splendid
21,news
21,edmund
21,father's
21,coming
21,home
21,he
21,writes
21,here
21,that
21,he'll
21,be
21,back
21,by
21,st
21,leonard's
21,day
21,excellent
21,so
21,we
21,can
21,celebrate
21,both
21,events
21,together
22,now
22,then
22,i
22,shall
22,handle
22,the
22,visiting
22,royalty
22,of
22,course
22,er
22,the
22,guards
22,of
22,honour
22,and
22,the
22,papal
22,legate
22,and
22,you
22,can
22,er
22,you
22,can
22,sort
22,out
22,the
22,frolicks
23,the
23,frolicks
24,yes
24,the
24,morris
24,dancers
24,the
24,eunuchs
24,and
24,the
24,bearded
24,women
24,you
24,know
24,the
24,traditional
24,st
24,leonard's
24,day
24,entertainments
24,oh
24,damnation
24,though
24,i
24,don't
24,think
24,i'm
24,going
24,to
24,have
24,enough
24,time
24,to
24,attend
24,to
24,the
24,drains
24,edmund
24,you'll
24,have
24,to
24,look
24,into
24,those
24,as
24,well
25,oh
25,er
25,yes
25,fine
25,fine
25,i'd
25,i'd
25,be
25,honoured
26,good
26,you
26,won't
26,let
26,me
26,down
26,now
26,will
26,you
27,no
27,no
27,no
27,no
27,i'm
27,i'm
27,really
27,looking
27,forward
27,to
27,it
27,already
27,thank
27,you
27,so
27,very
27,much
28,splendid
29,twelve
29,months
29,of
29,chasing
29,sheep
29,and
29,straightening
29,the
29,royal
29,portraits
29,and
29,now
29,this
29,the
29,bastard
29,the
29,bastard
30,if
30,only
30,he
30,were
30,my
30,lord
31,what
32,if
32,only
32,he
32,were
32,a
32,bastard
32,my
32,lord
32,then
32,you
32,would
32,be
32,regent
32,now
33,ah
33,yes
33,and
33,then
33,one
33,day
34,you
34,would
34,be
34,king
34,my
34,lord
35,ah
