line,word
1,england
1,november
1,1487
1,the
1,battle
1,between
1,the
1,church
1,and
1,the
1,crown
1,continues
1,to
1,rage
1,and
1,the
1,duke
1,of
1,winchester
1,the
1,greatest
1,landowner
1,in
1,england
1,is
1,dying
2,dying
2,my
2,lords
2,am
2,i
2,dying
3,never
4,never
5,yet
5,my
5,son
5,to
5,pass
5,away
5,the
5,idle
5,hours
5,until
5,your
5,recovery
6,euuuugh
7,let
7,us
7,imagine
7,you
7,yourself
7,were
7,to
7,pass
7,away
7,to
7,whom
7,would
7,you
7,leave
7,your
7,lands
8,why
8,to
8,me
8,of
8,course
9,yes
9,to
9,my
9,beloved
9,king
10,that's
10,it
11,and
11,may
11,your
11,filthy
11,soul
11,be
11,prepared
11,for
11,hell
11,my
11,son
12,hell
13,yes
13,hell
13,where
13,satan
13,belches
13,fire
13,and
13,enormous
13,devils
13,break
13,wind
13,both
13,night
13,and
13,day
13,hell
13,where
13,the
13,mind
13,is
13,never
13,free
13,from
13,the
13,torments
13,of
13,remorse
13,and
13,your
13,bottom
13,never
13,free
13,from
13,the
13,pricking
13,of
13,little
13,forks
14,nnoooo
14,spare
14,me
14,the
14,little
14,forks
15,what
15,is
15,this
15,nonsense
16,hell
16,where
16,the
16,softest
16,bits
16,of
16,your
16,nether
16,regions
16,are
16,everybody
16,else's
16,favourite
16,lunch
17,forgive
17,me
17,sire
17,i
17,will
17,change
17,my
17,will
17,and
17,leave
17,my
17,lands
17,to
17,the
17,church
18,what
19,blessed
19,be
19,thy
19,stainless
19,soul
20,ah
20,you
20,will
20,change
20,your
20,mind
20,later
20,i
20,know
20,it
21,i
21,think
21,not
22,ah
22,baldrick
22,what
22,news
23,well
23,my
23,lord
23,an
23,informed
23,source
23,tells
23,me
23,that
23,the
23,duchess
23,of
23,glouceister
23,has
23,given
23,birth
23,to
23,twin
23,goblins
24,no
24,no
24,no
24,about
24,the
24,duke
24,of
24,winchester
25,oh
25,he's
25,still
25,hanging
25,on
26,he
26,must
26,be
26,on
26,his
26,last
26,legs
26,by
26,now
26,my
26,lord
27,yes
27,but
27,how
27,many
27,sets
27,of
27,legs
27,has
27,that
27,man
27,got
27,really
27,i
27,wish
27,he'd
27,make
27,up
27,his
27,mind
27,either
27,he
27,dies
27,or
27,he
27,lives
27,forever
27,it's
27,his
27,shilly
27,shallying
27,that's
27,so
27,undignified
28,my
28,lord
28,i
28,come
28,with
28,tragic
28,news
29,what
29,died
29,at
29,last
29,has
29,he
30,who
30,my
30,lord
31,oh
31,i
31,see
31,now
31,the
31,idea
31,is
31,that
31,you
31,ask
31,me
31,what
31,the
31,message
31,is
31,before
31,you
31,tell
31,it
31,to
31,me
31,quite
31,brilliant
31,i
31,must
31,say
31,i
31,was
31,referring
31,to
31,the
31,duke
31,of
31,winchester
32,who
32,my
32,lord
33,right
33,let's
33,try
33,to
33,sort
33,this
33,out
33,in
33,words
33,of
33,one
33,syllable
33,shall
33,we
33,someone
33,has
33,died
33,yes
34,yes
34,my
34,lord
35,who
35,is
35,it
35,that
35,has
35,died
36,the
36,archbishop
36,of
36,canterbury
36,my
36,lord
37,are
37,you
37,a
37,cretin
38,yes
38,my
38,lord
39,the
39,archbishop
39,of
39,canterbury
39,oh
39,no
39,the
39,king
39,has
39,done
39,it
39,again
39,that's
39,the
39,third
39,this
39,year
39,how
39,did
39,this
39,one
39,die
40,horribly
40,my
40,lord
41,any
41,details
42,horribly's
42,all
42,i
42,was
42,given
43,ah
43,edmund
43,there
43,you
43,are
44,my
44,lord
44,i
44,come
44,with
44,tragic
44,news
45,i've
45,heard
45,it
45,will
45,you
45,go
45,away
46,oh
46,dear
46,edmund
46,the
46,archbishop
46,of
46,canterbury
46,has
46,met
46,with
46,the
46,most
46,tragic
46,accident
46,there
46,seems
46,to
46,be
46,some
46,confusion
46,but
46,i
46,think
46,i've
46,fathomed
46,out
46,on
46,how
46,it
46,came
46,about
47,yes
47,i
47,think
47,i've
47,got
47,a
47,pretty
47,shrewd
47,idea
47,myself
48,you
48,see
48,archbishop
48,godfrey
48,was
48,coming
48,out
48,of
48,the
48,duke
48,of
48,winchester's
48,room
49,who
49,had
49,just
49,died
49,leaving
49,all
49,his
49,lands
49,to
49,the
49,church
50,well
50,as
50,a
50,matter
50,of
50,fact
50,yes
51,and
51,so
51,the
51,king
51,was
51,really
51,after
51,his
51,blood
51,presumably
52,well
52,i
52,dare
52,say
52,but
52,the
52,point
52,of
52,the
52,matter
52,is
52,that
52,at
52,that
52,moment
52,round
52,the
52,corner
52,came
52,sir
52,mortimer
53,the
53,king's
53,hired
53,killer
54,no
54,no
54,no
54,mortimer
54,that
54,tall
54,rather
54,striking
54,fellow
54,with
54,no
54,ears
55,yes
55,that's
55,him
56,well
56,he
56,saw
56,the
56,archbishop
56,and
56,rushed
56,towards
56,him
56,with
56,his
56,head
56,bowed
56,in
56,order
56,to
56,receive
56,his
56,blessing
56,and
56,er
56,unfortunately
56,killed
56,him
56,stone
56,dead
57,how
58,mortimer
58,was
58,wearing
58,a
58,turkish
58,helmet
59,oh
59,i
59,see
59,yes
59,one
59,of
59,those
59,with
59,the
59,two
59,feet
59,spike
59,coming
59,out
59,of
59,the
59,top
60,it's
60,one
60,of
60,those
60,things
60,they
60,normally
60,use
60,for
60,butting
60,their
60,enemies
60,in
60,the
60,stomach
60,and
60,killing
60,them
60,stone
60,dead
61,yes
61,so
61,presumably
61,he'd
61,forgotten
61,he
61,was
61,wearing
61,it
62,well
62,do
62,you
62,know
62,that's
62,exactly
62,what
62,the
62,poor
62,fellow
62,had
62,done
62,a
62,tragic
62,accident
62,tragic
63,ah
63,yes
63,almost
63,as
63,tragic
63,as
63,archbishop
63,bertrum
63,being
63,struck
63,by
63,a
63,falling
63,gargoyle
63,while
63,swimming
63,off
63,beachy
63,head
64,quite
64,quite
64,and
64,nearly
64,as
64,tragic
64,as
64,poor
64,old
64,archbishop
64,wilfred
64,slipping
64,and
64,falling
64,backwards
64,onto
64,the
64,spire
64,of
64,norwich
64,cathedral
64,oh
64,lord
64,you
64,do
64,work
64,in
64,mysterious
64,ways
64,i
64,just
64,don't
64,know
64,how
64,i'm
64,going
64,to
64,break
64,it
64,to
64,his
65,what
65,a
65,tragic
65,accident
65,my
65,lord
66,accident
66,my
66,coddlings
67,who
67,do
67,you
67,think
67,will
67,take
67,over
68,oh
68,i
68,don't
68,know
68,it'll
68,be
68,one
68,of
68,the
68,bishop
68,fellows
68,i
68,should
68,imagine
68,they
68,tend
68,to
68,go
68,for
68,religious
68,types
69,rumour
69,has
69,it
69,my
69,lord
69,that
69,the
69,king
69,wants
69,to
69,choose
69,prince
69,harry
70,oh
70,really
71,prince
71,harry
71,archbishop
71,my
71,lord
72,good
72,lord
72,prince
72,harry
72,archbishop
72,and
72,we
72,all
72,know
72,what
72,happens
72,to
72,archbishops
72,don't
72,we
73,yes
73,they
73,go
73,to
73,canterbury
74,no
74,no
74,no
74,no
74,no
74,no
74,no
75,oh
75,yes
76,are
76,you
76,sure
76,about
76,your
76,source
76,baldrick
77,yeah
77,it
77,was
77,jane
77,smart
77,you
77,know
77,she
77,was
77,the
77,one
77,who
77,told
77,me
77,about
77,the
77,duchess
77,of
77,kent
77,and
77,the
77,chocolate
77,chastity
77,belt
78,oh
78,yes
78,she's
78,quite
