line,word
1,o
1,noble
1,prince
1,your
1,secret
1,note
1,of
1,love
1,has
1,won
1,my
1,heart
1,the
1,castle
1,of
1,my
1,body
1,is
1,yours
1,by
1,right
1,of
1,conquest
1,come
1,let
1,your
1,tongue
1,dive
1,into
1,the
1,moat
1,of
1,my
1,mouth
1,and
1,let
1,your
1,hands
1,take
1,possession
1,of
1,the
1,ramparts
1,of
1,my
1,plumpies
1,for
1,i'm
1,yours
1,and
1,yours
1,alone
2,and
2,i'm
2,yours
3,eugh
3,edmund
3,i
3,thought
3,you
3,your
3,brother
4,in
4,1492
4,after
4,the
4,death
4,of
4,randolph
4,xii
4,of
4,saxony
4,and
4,the
4,collapse
4,of
4,the
4,treaty
4,of
4,insects
4,europe
4,was
4,in
4,disarray
4,kingdoms
4,rose
4,and
4,fell
4,borders
4,even
4,languages
4,changed
4,men
4,were
4,killed
4,by
4,their
4,own
4,side
4,and
4,women
4,raped
4,by
4,soldiers
4,from
4,up
4,to
4,seven
4,different
4,nations
4,every
4,week
5,the
5,courts
5,of
5,europe
5,throbbed
5,with
5,activity
5,and
5,none
5,more
5,so
5,than
5,england
7,yes
7,my
7,lord
8,the
8,swiss
8,are
8,always
8,cowards
10,excellent
10,wessex
10,while
10,they're
10,away
10,take
10,ten
10,thousand
10,troops
10,and
10,pillage
10,geneva
11,but
11,the
11,swiss
11,are
11,our
11,allies
11,my
11,lord
12,oh
12,yes
12,well
12,er
12,get
12,them
12,to
12,dress
12,up
12,as
12,germans
12,will
12,you
13,chiswick
13,remind
13,me
13,to
13,send
13,flowers
13,to
13,the
13,king
13,of
13,france
13,in
13,symapthy
13,for
13,the
13,death
13,of
13,his
13,son
14,the
14,one
14,you
14,had
14,murdered
14,my
14,lord
15,yes
15,that's
15,the
15,fellow
16,father
17,will
17,you
17,get
17,away
17,from
17,me
18,ah
18,harry
18,the
18,gentle
18,art
18,of
18,diplomacy
18,but
18,you
18,well
18,know
18,where
18,the
18,real
18,secret
18,of
18,diplomacy
18,lies
18,don't
18,you
18,my
18,boy
19,well
19,actually
19,i
19,don't
19,father
19,but
19,i
19,would
19,like
19,to
19,know
20,there
21,are
21,you
21,sure
21,i
21,can't
21,imagine
21,anything
21,of
21,any
21,real
21,interest
21,down
21,there
22,let
22,me
22,explain
22,what's
22,that
22,for
23,well
23,a
23,couple
23,of
23,things
24,correct
24,and
24,one
24,of
24,those
24,things
24,is
25,best
25,not
25,mentioned
25,really
26,right
26,and
26,the
26,other
26,is
26,fornication
27,and
27,without
27,fornication
27,there
27,is
27,no
27,marriage
27,and
27,without
27,marriage
27,there
27,is
27,no
27,diplomacy
28,oh
28,i
28,see
29,very
29,good
29,come
29,on
29,let
29,me
29,explain
29,further
29,you
29,see
29,my
29,boy
29,i
29,have
29,decided
29,to
29,ally
29,to
29,a
29,nation
29,most
29,threatening
29,to
29,france
29,the
29,answer
29,of
29,course
29,is
29,chiswick
30,spain
30,and
30,the
30,best
30,way
30,to
30,cement
30,an
30,alliance
30,of
30,course
30,is
30,marriage
30,therefore
30,i
30,have
30,decided
30,that
30,you
30,shall
30,marry
30,the
30,spanish
30,infanta
31,oh
31,congratulations
31,your
31,majesty
32,actually
32,i
32,don't
32,think
32,i
32,can
33,what
33,why
33,not
34,well
34,i
34,am
34,already
34,engaged
35,what
35,who
35,to
35,boy
36,princess
36,leia
36,of
36,hungary
