line,word
1,edmund
1,blackadderb
1,baldrickg
1,prince
1,regent
1,georgem
1,mrs
1,migginsj
1,dr
1,samuel
1,johnsonby
1,lord
1,george
1,gordon
1,byronc
1,samuel
1,taylor
1,coleridges
1,percy
1,bysshe
1,shelley
2,oh
2,oh
2,oh
2,blackadder
2,blackadder
3,your
3,highness
4,wha
4,wha
4,what
4,time
4,is
4,it
5,three
5,o'clock
5,in
5,the
5,afternoon
5,your
5,highness
6,oh
6,thank
6,god
6,for
6,that
6,i
6,thought
6,i'd
6,overslept
7,i
7,trust
7,you
7,had
7,a
7,pleasant
7,evening
7,sir
8,well
8,no
8,actually
8,the
8,most
8,extraordinary
8,thing
8,happened
8,last
8,night
8,i
8,was
8,having
8,a
8,bit
8,of
8,a
8,snack
8,at
8,the
8,naughty
8,hellfire
8,club
8,and
8,some
8,fellow
8,said
8,that
8,i
8,had
8,the
8,wit
8,and
8,sophistication
8,of
8,a
8,donkey
9,oh
9,an
9,absurd
9,suggestion
9,sir
10,you're
10,right
10,it
10,is
10,absurd
11,unless
11,of
11,course
11,it
11,was
11,a
11,particularly
11,stupid
11,donkey
12,you
12,see
12,if
12,only
12,i'd
12,thought
12,of
12,saying
12,that
13,well
13,it
13,is
13,so
13,often
13,the
13,way
13,sir
13,too
13,late
13,one
13,thinks
13,of
13,what
13,one
13,should
13,have
13,said
13,sir
13,thomas
13,more
13,for
13,instance
13,burned
13,alive
13,for
13,refusing
13,to
13,recant
13,his
13,catholicism
13,must
13,have
13,been
13,kicking
13,him
13,self
13,as
13,the
13,flames
13,licked
13,higher
13,that
13,it
13,never
13,occurred
13,to
13,him
13,to
13,say
13,i
13,recant
13,my
13,catholicism
14,well
14,yes
14,you
14,see
14,only
14,the
14,other
14,day
14,prime
14,minister
14,pitt
14,called
14,me
14,an
14,idle
14,scrounger
14,and
14,it
14,wasn't
14,until
14,ages
14,later
14,that
14,i
14,thought
14,how
14,clever
14,it
14,would've
14,been
14,to
14,have
14,said
14,oh
14,bugger
14,off
14,you
14,old
14,fart
14,i
14,need
14,to
14,improve
14,my
14,mind
14,blackadder
14,i
14,want
14,people
14,to
14,say
14,that
14,george
14,why
14,he's
14,as
14,clever
14,as
14,a
14,stick
14,in
14,a
14,bucket
14,of
14,pig
14,swill
15,and
15,how
15,do
15,you
15,suggest
15,this
15,miracle
15,is
15,to
15,be
15,achieved
15,your
15,highness
16,easy
16,i
16,shall
16,become
16,best
16,friends
16,with
16,the
16,cleverest
16,man
16,in
16,england
16,that
16,renowned
16,brainbox
16,dr
16,samuel
16,johnson
16,has
16,asked
16,me
16,to
16,be
16,patron
16,of
16,his
16,new
16,book
16,and
16,i
16,intend
16,to
16,accept
17,would
17,this
17,be
17,the
17,long
17,awaited
17,dictionary
17,sir
18,oh
18,who
18,cares
18,about
18,the
18,title
18,as
18,long
18,as
18,there's
18,plenty
18,of
18,juicy
18,murders
18,in
18,it
18,i
18,hear
18,it's
18,a
18,masterpiece
19,no
19,sir
19,it
19,is
19,not
19,it's
19,the
19,most
19,pointless
19,book
19,since
19,how
19,to
19,learn
19,french
19,was
19,translated
19,into
19,french
20,you
20,haven't
20,got
20,anything
20,personal
20,against
20,johnson
20,have
20,you
20,blackadder
21,good
21,lord
21,sir
21,not
21,at
21,all
21,in
21,fact
21,i
21,had
21,never
21,heard
21,of
21,him
21,until
21,you
21,mentioned
21,him
21,just
21,now
22,but
22,you
22,do
22,think
22,he's
22,a
22,genius
23,no
23,sir
23,i
23,do
23,not
23,unless
23,of
23,course
23,the
23,definition
23,of
23,genius
23,in
23,his
23,ridiculous
23,dictionary
23,is
23,a
23,fat
23,dullard
23,or
23,wobblebottom
23,a
23,pompous
23,ass
23,with
23,sweatly
23,dewflaps
24,oh
24,close
24,shave
24,there
24,then
24,lucky
24,you
24,warned
24,me
24,i
24,was
24,about
24,to
24,embrace
24,this
24,unholy
24,arse
24,to
24,the
24,royal
24,bosom
25,i'm
25,delighted
25,to
25,have
25,been
25,instrumental
25,of
25,keeping
25,your
25,bosom
25,free
25,of
25,arses
25,sir
26,bravo
26,don't
26,want
26,to
26,waste
26,my
26,valuable
26,time
26,with
26,wobblebottoms
26,er
26,fetch
26,some
26,tea
26,will
26,you
26,blackadder
27,certainly
27,sir
28,oh
28,and
28,make
28,it
28,two
28,cups
28,will
28,you
28,that
28,splendid
28,brainbox
28,dr
28,johnson
28,is
28,coming
