line,word
1,baldricke
1,edmund
1,blackadderpr
1,prince
1,regent
1,georgek
1,keanrick
1,an
1,actorm
1,mossop
1,another
1,actora
1,an
1,anarchistmm
1,mrs
1,miggins
2,you
2,look
2,smart
2,mr
2,blackadder
2,going
2,somewhere
2,nice
3,no
3,i'm
3,off
3,to
3,the
3,theatre
4,don't
4,you
4,like
4,it
4,then
5,no
5,i
5,don't
5,a
5,load
5,of
5,stupid
5,actors
5,strutting
5,around
5,shouting
5,with
5,their
5,chests
5,thrust
5,out
5,so
5,far
5,you'd
5,think
5,their
5,nipples
5,were
5,attached
5,to
5,a
5,pair
5,of
5,charging
5,elephants
5,and
5,the
5,worst
5,thing
5,about
5,it
5,is
5,having
5,to
5,go
5,with
5,prince
5,mini
5,brain
6,what
6,doesn't
6,he
6,like
6,it
6,either
7,no
7,no
7,he
7,loves
7,it
7,the
7,problem
7,is
7,that
7,he
7,doesn't
7,realise
7,it's
7,made
7,up
7,last
7,year
7,when
7,brutus
7,was
7,about
7,to
7,kill
7,julius
7,caesar
7,the
7,prince
7,yelled
7,out
7,look
7,behind
7,you
7,mr
7,caesar
8,i
8,don't
8,see
8,a
8,point
8,in
8,the
8,theatre
8,all
8,that
8,sex
8,and
8,violence
8,i
8,get
8,enough
8,of
8,that
8,at
8,home
8,except
8,for
8,the
8,sex
8,of
8,course
9,while
9,we're
9,out
9,baldrick
9,i
9,want
9,you
9,to
9,give
9,this
9,palace
9,a
9,good
9,clean
9,it's
9,so
9,dirty
9,it'll
9,be
9,unacceptable
9,to
9,a
9,dung
9,beetle
9,that
9,had
9,lost
9,interest
9,in
9,its
9,career
9,and
9,really
9,let
9,itself
9,go
10,come
10,on
10,blackadder
10,or
10,we'll
10,miss
10,the
10,first
10,act
11,coming
11,sir
11,as
11,fast
11,as
11,i
11,can
11,stick
11,the
11,kettle
11,on
11,baldrick
12,now
12,sir
12,give
12,i
12,this
12,advice
12,to
12,thee
12,never
12,never
12,trust
12,thine
12,enemy
13,thy
13,life
13,is
13,forfeit
13,thy
13,life
13,is
13,forfeit
13,sir
13,and
13,at
13,an
13,end
13,like
13,our
13,poor
13,play
13,we
13,hope
13,it
13,pleased
13,you
13,friends
14,certainly
14,not
14,you
14,murdering
14,rotter
14,guards
14,arrest
14,that
14,man
15,your
15,highness
15,it's
15,only
15,a
15,play
16,oh
16,well
16,that's
16,all
16,very
16,well
16,but
16,that
16,about
16,the
16,poor
16,fellow
16,who's
16,dead
16,saying
16,it's
16,only
16,a
16,play
16,will
16,not
16,feed
16,and
16,clothe
16,the
16,little
16,ones
16,he
16,leaves
16,behind
16,call
16,the
16,militia
17,but
17,sir
17,he's
17,not
17,dead
17,see
17,he
17,stands
17,awaiting
17,your
17,applause
18,oh
18,i
18,say
18,that's
18,very
18,clever
18,he
18,really
18,isn't
18,dead
18,oh
18,bravo
18,bravo
19,blast
19,the
19,prince
19,likes
19,it
20,oh
20,shit
20,we'll
20,close
20,tonight
21,right
21,everybody
21,out
21,smash
21,the
21,spinning
21,jenny
21,burn
21,the
21,rolling
21,rosalind
21,destroy
21,the
21,going
21,up
21,and
21,down
21,a
21,bit
21,and
21,then
21,moving
21,along
21,gertrude
21,and
21,death
21,to
21,the
21,stupid
21,prince
21,who
21,grows
21,fat
21,on
21,the
21,profits
22,i
22,say
22,how
22,exciting
22,this
22,play's
22,getting
22,better
22,and
22,better
22,bravo
22,bravo
23,it's
23,not
23,a
23,play
23,anymore
23,sir
23,put
23,the
23,bomb
23,down
23,and
23,make
23,your
23,way
23,quietly
23,to
23,the
23,exit
24,blackadder
24,you
24,old
24,thing
24,your
24,problem
24,is
24,you
24,can't
24,tell
24,when
24,something's
24,real
24,and
24,when
24,it's
24,not
25,i
25,must
25,say
25,blackadder
25,that
25,was
25,a
25,close
25,shave
25,why
25,on
25,earth
25,would
25,an
25,anarchist
25,possibly
25,want
25,to
25,kill
25,you
26,i
26,think
26,it
26,might've
26,been
26,you
26,he
26,was
26,after
26,sir
27,oh
27,hogwash
27,what
27,on
27,earth
27,makes
27,you
27,say
27,that
28,well
28,my
28,suspicions
28,were
28,first
28,aroused
28,by
28,his
28,use
28,of
28,the
28,words
28,death
28,to
28,the
28,stupid
28,prince
29,it
29,was
29,a
29,bit
29,rude
29,wasn't
29,it
30,these
30,are
30,volatile
30,times
30,your
30,highness
30,the
30,american
30,revolution
30,lost
30,your
30,father
30,the
30,colonies
30,the
30,french
30,revolution
30,murdered
30,brave
30,king
30,louis
30,and
30,there
30,are
30,tremendous
30,rumblings
30,in
30,prussia
30,although
30,that
30,might
30,have
30,something
30,to
30,do
30,with
30,the
30,sausages
30,the
30,whole
30,world
30,cries
30,out
30,peace
30,freedom
30,and
30,a
30,few
30,less
30,fat
30,bastards
30,eating
30,all
30,the
30,pie
31,well
31,yes
31,quite
31,something
31,must
31,be
31,done
31,any
31,ideas
32,yes
32,sir
32,next
32,week
32,is
32,your
32,royal
32,father's
32,birthday
32,celebrations
32,i
32,suggest
32,that
32,i
32,write
32,a
32,brilliant
32,speech
32,for
32,you
32,to
32,recite
32,to
32,show
32,the
32,oppressed
32,masses
32,how
32,unusually
32,sensitive
32,you
32,are
33,pphhhggttt
33,well
33,tell
33,me
33,about
33,these
33,oppressed
33,masses
33,what
33,are
33,they
33,so
33,worked
33,up
33,about
34,they're
34,worked
34,up
34,sir
34,because
34,they're
34,so
34,poor
34,they're
34,forced
34,to
34,have
34,children
34,simply
34,to
34,provide
34,a
34,cheap
34,alternative
34,to
34,turkey
34,at
34,christmas
34,disease
34,and
34,depravation
34,stalk
34,our
34,land
34,like
34,two
34,giant
34,stalking
34,things
34,and
34,the
34,working
34,man
34,is
34,poised
34,to
34,overthrow
34,us
35,oh
35,my
35,god
35,and
35,here
35,he
35,is
36,don't
36,be
36,silly
36,sir
36,that's
36,baldrick
36,my
36,dogsbody
37,what's
37,silly
37,about
37,that
37,he
37,looks
37,like
37,an
37,oppressed
37,mass
37,to
37,me
37,get
37,him
37,out
37,of
37,here
37,at
37,once
38,shoo
38,baldrick
38,carry
38,on
38,with
38,your
38,cleaning
38,elsewhere
38,and
38,by
38,the
38,end
38,of
38,tonight
38,i
38,want
38,that
38,dining
38,table
38,so
38,clean
38,i
38,can
38,eat
38,my
38,dinner
38,off
38,it
39,cripes
39,blackadder
39,i'm
39,dicing
39,with
39,death
39,here
39,the
39,sooner
39,i
39,can
39,show
39,how
39,unusually
39,sensitive
39,i
39,am
39,the
39,better
39,oh
39,i
39,just
39,had
39,another
39,brilliant
39,thought
40,another
40,one
40,your
40,highness
41,yes
41,another
41,one
41,actually
41,you
41,remember
41,that
41,one
41,i
41,i
41,had
41,about
41,uh
41,wearing
41,underwear
41,on
