line,word
1,edmund
1,blackadderb
1,baldrickpr
1,prince
1,regent
1,georgea
1,miss
1,amy
1,hardwoodh
1,mr
1,hardwoodsc
1,sally
1,cheapsidedc
1,the
1,duke
1,of
1,cheapsides
1,the
1,shadowmm
1,mrs
1,miggins
2,oh
2,god
2,bills
2,bills
2,bills
2,one
2,is
2,born
2,one
2,runs
2,up
2,bills
2,one
2,dies
2,and
2,what
2,have
2,i
2,got
2,to
2,show
2,for
2,it
2,nothing
2,a
2,butler's
2,uniform
2,and
2,a
2,slightly
2,effeminate
2,hairdo
2,honestly
2,baldrick
2,i
2,sometimes
2,feel
2,like
2,a
2,pelican
2,whichever
2,way
2,i
2,turn
2,i've
2,still
2,got
2,an
2,enormous
2,bill
2,in
2,front
2,of
2,me
2,pass
2,the
2,biscuit
2,barrel
2,let's
2,see
2,what's
2,in
2,the
2,kitty
2,shall
2,we
2,ninepence
2,oh
2,god
2,what
2,are
2,we
2,going
2,to
2,do
3,don't
3,worry
3,mr
3,b
3,i
3,have
3,a
3,cunning
3,plan
3,to
3,solve
3,the
3,problem
4,yes
4,baldrick
4,let
4,us
4,not
4,forget
4,that
4,you
4,tried
4,to
4,solve
4,the
4,problem
4,of
4,your
4,mother's
4,low
4,ceiling
4,by
4,cutting
4,off
4,her
4,head
5,but
5,this
5,is
5,a
5,really
5,good
5,one
5,you
5,become
5,a
5,dashing
5,highwayman
5,then
5,you
5,can
5,pay
5,all
5,your
5,bills
5,and
5,on
5,top
5,of
5,that
5,everyone'll
5,want
5,to
5,sleep
5,with
5,you
6,baldrick
6,i
6,could
6,become
6,a
6,prostitute
6,and
6,pay
6,my
6,bills
6,then
6,everyone
6,would
6,want
6,to
6,sleep
6,with
6,me
6,but
6,i
6,do
6,consider
6,certain
6,professions
6,beneath
6,me
6,but
6,besides
6,which
6,i
6,fail
6,to
6,see
6,why
6,a
6,common
6,thief
6,should
6,be
6,idolised
6,just
6,because
6,he
6,has
6,a
6,horse
6,between
6,his
6,legs
7,my
7,favourite's
7,the
7,shadow
7,what
7,a
7,man
7,they
7,say
7,he's
7,half
7,way
7,to
7,being
7,the
7,new
7,robin
7,hood
8,why
8,only
8,half
8,way
9,well
9,he
9,steals
9,from
9,the
9,rich
9,but
9,he
9,hasn't
9,got
9,round
9,to
9,giving
9,it
9,to
9,the
9,poor
9,yet
9,look
9,i've
9,got
9,a
9,poster
9,of
9,him
10,baldrick
10,i
10,have
10,no
10,desire
10,to
10,get
10,hung
10,for
10,wearing
10,a
10,silly
10,hat
10,if
10,i
10,want
10,to
10,get
10,rich
10,quick
10,all
10,i
10,have
10,to
10,do
10,is
10,go
10,upstairs
10,and
10,ask
10,prince
10,fathead
10,for
10,a
10,rise
11,oop
11,the
11,bank's
11,open
12,good
12,morning
12,sir
12,may
12,i
12,say
12,how
12,immensely
12,rich
12,you're
12,looking
12,now
12,was
12,there
12,anything
12,you
12,wanted
12,anything
12,at
12,all
12,absolutely
12,anything
13,well
13,yes
13,old
13,fellow
13,i
13,was
13,wondering
13,if
13,you
13,could
13,possibly
13,lend
13,me
13,a
13,bit
13,of
13,cash
14,but
14,of
14,course
14,sir
14,i
14,cash
15,yes
15,i'm
15,rotten
15,stinking
15,stoning
15,stinking
15,broke
16,but
16,sir
16,what
16,about
16,the
16,five
16,thousand
16,pounds
16,that
16,parliament
16,voted
16,you
16,only
16,last
16,week
16,to
16,drink
16,yourself
16,to
16,death
16,with
17,all
17,gone
17,i'm
17,afraid
17,you
17,see
17,i've
17,discovered
17,this
17,terrifically
17,fun
17,new
17,game
17,it's
17,called
17,cards
17,what
17,happens
17,is
17,you
17,sit
17,round
17,the
17,table
17,with
17,your
17,friends
17,and
17,you
17,deal
17,out
17,five
17,cards
17,each
17,and
17,then
17,the
17,object
17,of
17,the
17,game
17,is
17,to
17,give
17,away
17,all
17,your
17,money
17,as
17,quickly
17,as
17,possible
17,do
17,you
17,know
17,it
18,vaguely
18,sir
18,yes
19,all
19,the
19,chaps
19,say
19,i'm
19,terrific
19,at
19,it
20,i
20,seem
20,to
20,remember
20,i
20,was
20,very
20,bad
20,at
20,it
20,i
20,always
20,seemed
20,to
20,end
20,up
20,with
20,more
20,money
20,than
20,i
20,started
20,with
21,yes
21,well
21,it's
21,all
21,down
21,to
21,practice
21,i'm
21,a
21,natural
21,apparently
21,the
21,only
21,drawback
21,of
21,course
21,is
21,that
21,it's
