line,word
1,baldricke
1,edmund
1,blackadderpr
1,prince
1,regent
1,georgemm
1,mrs
1,migginsw
1,the
1,duke
1,of
1,wellingtonma
1,mcadders
1,king's
1,servantk
1,king
1,george
1,iii
2,ooh
2,mr
2,blackadder
3,leave
3,me
3,alone
3,baldrick
3,if
3,i'd
3,wanted
3,to
3,talk
3,to
3,a
3,vegetable
3,i'd
3,have
3,bought
3,one
3,at
3,the
3,market
4,well
4,don't
4,you
4,want
4,this
4,message
5,no
5,thank
5,you
5,god
5,i'm
5,wasted
5,here
5,it's
5,no
5,life
5,for
5,a
5,man
5,of
5,noble
5,blood
5,being
5,servant
5,to
5,a
5,master
5,with
5,the
5,intellect
5,of
5,a
5,jugged
5,walrus
5,and
5,all
5,the
5,social
5,graces
5,of
5,a
5,potty
6,i'm
6,wasted
6,too
6,i've
6,been
6,thinking
6,of
6,bettering
6,myself
7,oh
7,really
7,how
8,i
8,applied
8,for
8,the
8,job
8,of
8,village
8,idiot
8,of
8,kensington
9,oh
9,get
9,anywhere
10,i
10,got
10,down
10,to
10,the
10,last
10,two
10,but
10,i
10,failed
10,the
10,final
10,interview
11,oh
11,what
11,went
11,wrong
12,i
12,turned
12,up
12,the
12,other
12,bloke
12,was
12,such
12,an
12,idiot
12,he
12,forgot
12,to
13,yes
13,well
13,i'm
13,afraid
13,my
13,ambitions
13,stretch
13,slightly
13,further
13,than
13,professional
13,idiocy
13,in
13,west
13,london
13,i
13,want
13,to
13,be
13,remembered
13,when
13,i'm
13,dead
13,i
13,want
13,books
13,written
13,about
13,me
13,i
13,want
13,songs
13,sung
13,about
13,me
13,and
13,then
13,hundreds
13,of
13,years
13,from
13,now
13,i
13,want
13,episodes
13,from
13,my
13,life
13,to
13,be
13,played
13,out
13,weekly
13,at
13,half
13,past
13,nine
13,by
13,some
13,great
13,heroic
13,actor
13,of
13,the
13,age
14,yeah
14,and
14,i
14,could
14,be
14,played
14,by
14,some
14,tiny
14,tit
14,in
14,a
14,beard
15,quite
15,now
15,what's
15,this
15,message
16,i
16,thought
16,you
16,didn't
16,want
16,it
17,well
17,i
17,may
17,do
17,it
17,depends
17,what
17,it
17,is
18,so
18,you
18,do
18,want
18,it
19,well
19,i
19,don't
19,know
19,do
19,i
19,it
19,depends
19,what
19,it
19,is
20,well
20,i
20,can't
20,tell
20,you
20,unless
20,you
20,want
20,to
20,know
20,and
20,you
20,said
20,you
20,didn't
20,want
20,to
20,know
20,and
20,now
20,i'm
20,so
20,confused
20,i
20,don't
20,know
20,where
20,i
20,live
20,or
20,what
20,my
20,name
20,is
21,your
21,name
21,is
21,of
21,no
21,importance
21,and
21,you
21,live
21,in
21,the
21,pipe
21,in
21,the
21,upstairs
21,water
21,closet
21,oh
21,god
21,was
21,the
21,man
21,who
21,gave
21,you
21,this
21,by
21,any
21,chance
21,a
21,red
21,headed
21,lunatic
21,with
21,a
21,kilt
21,and
21,a
21,claymore
22,yeah
22,and
22,the
22,funny
22,thing
22,was
22,he
22,looked
22,exactly
22,like
22,you
23,my
23,mad
23,cousin
23,mcadder
23,the
23,most
23,dangerous
23,man
23,ever
23,to
23,wear
23,a
23,skirt
23,in
23,europe
24,yeah
24,he
24,come
24,in
24,here
24,playing
24,the
24,bag
24,pipes
24,then
24,he
24,made
24,a
24,haggis
24,sang
24,auld
24,lang
24,sayne
24,and
24,punched
24,me
24,in
24,the
24,face
25,why
26,because
26,i
26,called
26,him
26,a
26,knock
26,kneed
26,scottish
26,pillock
27,an
27,unwise
27,action
27,baldrick
27,since
27,mad
27,mcadder
27,is
27,a
27,homicidal
27,maniac
28,my
28,mother
28,told
28,me
28,to
28,stand
28,up
28,to
28,homicidal
28,maniacs
29,yes
29,if
29,this
29,is
29,the
29,same
29,mother
29,who
29,confidently
29,claimed
29,that
29,you
29,were
29,a
29,tall
29,handsome
29,stallion
29,of
29,a
29,man
29,i
29,should
29,treat
29,her
29,opinions
29,with
29,extreme
29,caution
30,i
30,love
30,my
30,mum
31,and
31,i
31,love
31,chops
31,and
31,sauce
31,but
31,i
31,don't
31,seek
31,their
31,advice
31,i
31,hate
31,it
31,when
31,mcadder
31,turns
31,up
31,he's
31,such
31,a
31,frog
31,eyed
31,beetle
31,browed
31,basket
31,case
32,he's
32,the
32,spitting
32,image
32,of
32,you
33,no
33,he's
33,not
33,we're
33,about
33,as
33,similar
33,as
33,two
33,completely
33,dissimilar
33,things
33,in
33,a
33,pod
33,what's
33,the
33,old
33,tartan
33,throw
33,back
33,banging
33,on
33,about
33,this
33,time
33,have
33,come
33,south
33,for
33,the
33,rebellion
33,oh
33,god
33,surprise
33,surprise
33,staying
33,with
33,miggins
33,the
33,time
33,has
33,come
33,best
33,sword
33,and
33,scotland
33,insurrection
33,blood
33,large
33,bowl
33,of
33,porridge
33,rightful
33,claim
33,to
33,throne
33,he's
33,mad
33,he's
33,mad
33,he's
33,madder
33,than
33,mad
33,jack
33,mcmad
33,the
33,winner
33,of
33,last
33,year's
33,mr
33,madman
33,competition
34,ah
34,the
34,walrus
34,awakes
35,ah
35,blackadder
35,notice
35,anything
35,unusual
36,yes
36,sir
36,it's
36,11
36,30
36,in
36,the
36,morning
36,and
36,you're
36,moving
36,about
36,is
36,the
36,bed
36,on
36,fire
37,well
37,i
37,wouldn't
37,know
37,i've
37,been
37,out
37,all
37,night
37,guess
37,what
37,i've
37,been
37,doing
37,wraaarrhhhh
38,beagling
38,sir
39,better
39,even
39,than
39,that
39,sink
39,me
39,blackadder
39,if
39,i
39,if
39,i
39,haven't
39,just
39,had
39,the
39,most
39,wonderful
39,evening
39,of
39,my
39,life
40,tell
40,me
40,all
40,sir
41,well
41,as
41,you
41,know
41,when
41,i
41,set
41,out
41,i
41,looked
41,divine
41,at
41,the
41,party
41,as
41,i
41,passed
41,all
41,eyes
41,turned
42,and
42,i
42,daresay
42,quite
42,a
42,few
42,stomachs
43,well
43,that's
43,right
43,and
43,then
43,these
43,two
43,ravishing
43,beauties
43,came
43,up
43,to
43,me
43,and
43,whispered
43,in
43,my
43,ear
43,that
43,they
43,loved
43,me
44,and
44,what
44,happened
44,after
44,you
44,woke
44,up
45,oh
45,this
45,was
45,no
45,dream
45,blackadder
45,five
45,minutes
45,later
45,i
45,was
45,in
45,a
45,coach
45,flying
45,through
45,the
45,london
45,night
45,bound
45,for
45,the
45,ladies
45,home
46,and
46,which
46,home
46,is
46,this
46,a
46,home
46,for
46,the
46,elderly
46,or
46,a
46,home
46,for
46,the
46,mentally
46,disadvantaged
47,oh
47,no
47,no
47,no
47,no
47,no
47,this
47,was
47,apseley
47,house
47,do
47,you
47,know
47,it
48,yes
48,sir
48,it
48,is
48,the
48,seat
48,of
48,the
48,duke
48,of
