line,word
1,baldrick
1,what
1,are
1,you
1,doing
1,out
1,there
2,i'm
2,carving
2,something
2,on
2,this
2,bullet
2,sir
3,what
3,are
3,you
3,carving
4,i'm
4,carving
4,baldrick
4,sir
5,why
6,it's
6,a
6,cunning
6,plan
6,actually
7,of
7,course
7,it
7,is
8,you
8,see
8,you
8,know
8,they
8,say
8,that
8,somewhere
8,there's
8,a
8,bullet
8,with
8,your
8,name
8,on
8,it
9,yes
10,well
10,i
10,thought
10,if
10,i
10,owned
10,the
10,bullet
10,with
10,my
10,name
10,on
10,it
10,i'd
10,never
10,get
10,hit
10,by
10,it
10,cos
10,i
10,won't
10,ever
10,shoot
10,myself
11,oh
11,shame
12,and
12,the
12,chances
12,of
12,there
12,being
12,two
12,bullets
12,with
12,my
12,name
12,on
12,them
12,are
12,very
12,small
12,indeed
13,that's
13,not
13,the
13,only
13,thing
13,around
13,here
13,that's
13,very
13,small
13,indeed
13,your
13,brain
13,for
13,example
13,is
13,so
13,minute
13,baldrick
13,that
13,if
13,a
13,hungry
13,cannibal
13,cracked
13,your
13,head
13,open
13,there
13,wouldn't
13,be
13,enough
13,inside
13,to
13,cover
13,a
13,small
13,water
13,biscuit
14,tally
14,ho
14,pip
14,pip
14,and
14,bernard's
14,your
14,uncle
15,in
15,english
15,we
15,say
15,good
15,morning
16,look
16,what
16,i
16,got
16,for
16,you
16,sir
17,what
18,it's
18,the
18,latest
18,issue
18,of
18,king
18,amp
18,country
18,oh
18,damn
18,inspiring
18,stuff
18,the
18,magazine
18,that
18,tells
18,the
18,tommies
18,the
18,truth
18,about
18,the
18,war
19,or
19,alternatively
19,the
19,greatest
19,work
19,of
19,fiction
19,since
19,vows
19,of
19,fidelity
19,were
19,included
19,in
19,the
19,french
19,marriage
19,service
20,come
20,come
20,sir
20,now
20,you
20,can't
20,deny
20,that
20,this
20,fine
20,newspaper
20,is
20,good
20,for
20,the
20,morale
20,of
20,the
20,men
21,certainly
21,not
21,i
21,just
21,think
21,that
21,more
21,could
21,be
21,achieved
21,by
21,giving
21,them
21,some
21,real
21,toilet
21,paper
22,not
22,with
22,you
22,at
22,all
22,sir
22,what
22,could
22,any
22,patriotic
22,chap
22,have
22,against
22,this
22,magnificent
22,mag
23,apart
23,from
23,his
23,bottom
24,yes
25,well
25,look
25,at
25,it
25,i
25,mean
25,the
25,stuff's
25,about
25,as
25,convincing
25,as
25,dr
25,crippen's
25,defence
25,lawyer
25,the
25,british
25,tommies
25,are
25,all
25,portrayed
25,as
25,six
25,foot
25,six
25,with
25,biceps
25,the
25,size
25,of
25,bournemouth
26,thoroughly
26,inspiring
26,stuff
26,and
26,look
26,sir
26,this
26,also
26,arrived
26,for
26,you
26,this
26,morning
27,hmm
27,do
27,you
27,know
27,what
27,this
27,is
27,lieutenant
28,it's
28,a
28,good
28,old
28,service
28,revolver
29,wrong
29,it's
29,a
29,brand
29,new
29,service
29,revolver
29,which
29,i've
29,suspiciously
29,been
29,sent
29,without
29,asking
29,for
29,it
29,i
29,smell
29,something
29,fishy
29,and
29,i'm
29,not
29,talking
29,about
29,the
29,contents
29,of
29,baldrick's
29,apple
29,crumble
30,that's
30,funny
30,sir
30,because
30,we
30,didn't
30,order
30,those
30,new
30,trench
30,climbing
30,ladders
30,either
31,new
31,ladders
32,yeah
32,came
32,yesterday
32,i
32,issued
32,them
32,to
32,the
32,men
32,and
32,they
32,were
32,absolutely
32,thrilled
32,isn't
32,that
32,right
32,men
33,yes
33,sir
33,first
33,solid
33,fuel
33,we've
33,had
33,since
33,we
33,burned
33,the
33,cat
34,something's
34,going
34,on
34,and
34,i
34,think
34,i
34,can
34,make
34,an
34,educated
34,guess
34,what
34,it
34,is
34,something
34,which
34,you
34,george
34,would
34,find
34,hard
34,to
34,do
35,ah
35,true
35,true
35,where
35,i
35,was
35,at
35,school
35,education
35,could
35,go
35,hang
35,as
35,long
35,as
35,a
35,boy
35,could
35,hit
35,a
35,six
35,sing
35,the
35,school
35,song
35,very
35,loud
35,and
35,take
35,a
35,hot
35,crumpet
35,from
35,behind
35,without
35,blubbing
36,i
36,on
36,the
36,other
36,hand
36,am
36,a
36,fully
36,rounded
36,human
36,being
36,with
36,a
36,degree
36,from
36,the
36,university
36,of
36,life
36,a
36,diploma
36,from
36,the
36,school
36,of
36,hard
36,knocks
36,and
36,three
36,gold
36,stars
36,from
36,the
36,kindergarten
36,of
36,getting
36,the
36,shit
36,kicked
36,out
36,of
36,me
36,my
36,instincts
36,lead
36,me
36,to
36,deduce
36,that
36,we
36,are
36,at
36,last
36,about
36,to
36,go
36,over
36,the
36,top
37,great
37,scott
37,sir
37,you
37,mean
37,you
37,mean
37,the
37,moment's
37,finally
37,arrived
37,for
37,us
37,to
37,give
37,harry
37,hun
37,a
37,darned
37,good
37,british
37,style
37,thrashing
37,six
37,of
37,the
37,best
37,trousers
37,down
38,if
38,you
38,mean
38,are
38,we
38,all
38,going
38,to
38,get
38,killed
38,yes
38,clearly
38,field
38,marshal
38,haig
38,is
38,about
38,to
38,make
38,yet
38,another
38,gargantuan
38,effort
38,to
38,move
38,his
38,drinks
38,cabinet
38,six
38,inches
38,closer
38,to
38,berlin
39,right
39,bravo
39,issimo
39,well
39,let's
39,make
39,a
39,start
39,eh
39,up
39,and
39,over
39,to
39,glory
39,last
39,one
39,in
39,berlin's
39,a
39,rotten
39,egg
40,give
40,me
40,your
40,helmet
40,lieutenant
41,yes
41,some
41,sort
41,of
41,clever
41,hat
41,camouflage
41,might
41,be
41,in
41,order
42,permission
42,to
42,speak
42,sir
43,granted
43,with
43,a
43,due
43,sense
43,of
43,exhaustion
43,and
43,dread
44,i
44,have
44,a
44,cunning
44,plan
44,to
44,get
44,us
44,out
44,of
44,getting
44,killed
44,sir
45,ah
45,yes
45,what
45,is
45,it
46,cooking
47,i
47,see
48,you
48,know
48,staff
48,hq
48,is
48,always
48,on
48,the
48,lookout
48,for
48,good
48,cooks
48,well
48,we
48,go
48,over
48,there
