line,word
1,you're
1,a
1,bit
1,cheezed
1,off
1,sir
2,george
2,the
2,day
2,this
2,war
2,began
2,i
2,was
2,cheezed
2,off
2,within
2,ten
2,minutes
2,of
2,you
2,turning
2,up
2,i
2,finished
2,the
2,cheeze
2,and
2,moved
2,on
2,to
2,the
2,coffee
2,and
2,cigars
2,and
2,at
2,this
2,late
2,stage
2,i'm
2,in
2,a
2,cab
2,with
2,two
2,lady
2,com
2,panions
2,on
2,my
2,way
2,to
2,the
2,pink
2,pussycat
2,in
2,lower
2,regency
3,oh
3,well
3,because
3,if
3,you
3,are
3,cheezed
3,off
3,you
3,know
3,what
3,would
3,cheer
3,you
3,up
3,alot
3,of
3,charlie
3,chaplin
3,films
3,oh
3,i
3,love
3,old
3,chappers
3,don't
3,you
3,cap
4,unfortuately
4,no
4,i
4,don't
4,i
4,find
4,his
4,films
4,about
4,as
4,funny
4,as
4,getting
4,an
4,arrow
4,through
4,the
4,neck
4,and
4,discovering
4,there's
4,a
4,gas
4,bill
4,tied
4,to
4,it
5,ah
5,beg
5,pardon
5,sir
5,but
5,come
5,off
5,his
5,films
5,are
5,ball
5,bouncingly
5,funny
6,rubbish
7,alright
7,why
7,let's
7,consult
7,the
7,men
7,for
7,a
7,casting
7,vote
7,shall
7,we
7,bal
7,drick
8,sir
9,charlie
9,chaplin
9,baldrick
9,what
9,do
9,you
9,make
9,of
9,him
10,oh
10,sir
10,he's
10,as
10,funny
10,as
10,a
10,vegetable
10,that's
10,grown
10,into
10,a
10,rude
10,and
10,amusing
10,shape
10,sir
11,so
11,you
11,agree
11,with
11,me
11,not
11,at
11,all
11,funny
12,oh
12,come
12,on
12,skipper
12,it
12,ain't
12,fair
12,i
12,haven't
12,asked
12,for
12,all
12,of
12,this
12,when
12,he
12,kicked
12,that
12,fellow
12,in
12,the
12,backside
12,i
12,thought
12,i'd
12,die
13,well
13,if
13,that's
13,your
13,idea
13,of
13,comedy
13,we
13,can
13,provide
13,our
13,own
13,without
13,for
13,the
13,priviledge
13,there
13,you
13,find
13,that
13,funny
14,well
14,no
14,of
14,course
14,not
14,sir
14,but
14,you
14,see
14,chaplin
14,is
14,a
14,genius
15,he
15,certainly
15,is
15,a
15,genuis
15,george
15,he
15,invented
15,a
15,way
15,of
15,getting
15,a
15,million
15,dollars
15,a
15,year
15,by
15,wearing
15,stupid
15,trousers
15,did
15,you
15,find
15,that
15,funny
15,baldrick
16,what
16,funny
16,sir
17,that
17,funny
18,no
18,sir
18,you
18,mustn't
18,do
18,that
18,to
18,me
18,sir
18,because
18,that
18,is
18,a
18,bourgois
18,act
18,of
18,repression
18,sir
19,what
20,i
20,think
20,i
20,smelt
20,it
20,sir
20,there's
20,something
20,afoot
20,in
20,the
20,wind
20,the
20,huddled
20,masses
20,yearning
20,to
20,be
20,free
21,baldrick
21,have
21,you
21,been
21,through
21,the
21,diesel
21,oil
21,again
22,no
22,sir
22,i've
22,been
22,sopping
22,the
22,milk
22,of
22,freedom
22,already
22,our
22,russian
22,comrades
22,are
22,poised
22,on
22,the
22,brink
22,of
22,revolution
22,and
22,here
22,too
22,sir
22,the
22,huddled
22,what's
22,names
22,such
22,as
22,myself
22,sir
22,are
22,ready
22,to
22,throw
22,off
22,the
22,hated
22,oppressors
22,like
22,you
22,and
22,the
22,lieutenant
22,present
22,com
22,pany
22,accepted
22,sir
23,go
23,and
23,clean
23,out
23,the
23,latrines
24,yes
24,sir
24,right
24,away
24,sir
25,now
25,the
25,reason
25,why
25,chaplin
25,is
25,so
25,funny
25,because
25,he's
25,part
25,of
25,a
25,great
25,british
25,music
25,hall
25,tradition
26,oh
26,yes
26,the
26,great
26,british
26,music
26,hall
26,tradition
26,two
26,men
26,with
26,incred
26,ibly
26,unconvincing
26,cockney
26,accents
26,going
26,what's
26,up
26,with
26,you
26,then
26,what's
26,up
26,with
26,me
26,then
26,yeah
26,what's
26,up
26,with
26,you
26,then
26,get
26,on
26,with
26,it
27,now
27,sir
27,that
27,was
27,funny
27,you
27,should
27,have
27,gotten
27,a
