line,word
1,oh
1,god
1,why
1,do
1,they
1,bother
2,well
2,it's
2,to
2,kill
2,jerry
2,isn't
2,it
2,sir
3,yes
3,but
3,jerry
3,is
3,safe
3,underground
3,in
3,concrete
3,bunkers
3,we've
3,shot
3,off
3,over
3,a
3,million
3,cannon
3,shells
3,and
3,what's
3,the
3,result
3,one
3,dachshund
3,with
3,a
3,slight
3,limp
4,shut
4,up
5,thank
5,you
5,right
5,i'm
5,off
5,to
5,bed
5,where
5,i
5,intend
5,to
5,sleep
5,until
5,my
5,name
5,changes
5,to
5,rip
5,van
5,adder
6,oh
6,god
6,bloody
6,germans
6,they
6,can't
6,take
6,a
6,joke
6,can
6,they
6,just
6,because
6,we
6,take
6,a
6,few
6,pot
6,shots
6,at
6,them
6,they
6,have
6,to
6,have
6,an
6,air
6,raid
6,to
6,get
6,their
6,own
6,back
6,where
6,are
6,our
6,airforce
7,they're
7,meant
7,to
7,defend
7,us
7,against
7,this
7,sort
7,of
7,thing
8,right
8,that's
8,it
9,hello
9,yes
9,yes
9,i'd
9,like
9,to
9,leave
9,a
9,message
9,for
9,the
9,head
9,of
9,the
9,flying
9,corps
9,please
9,that's
9,air
9,chief
9,marshall
9,sir
9,hugh
9,massingburg
9,massingburg
9,vc
9,dfc
9,and
9,bar
9,message
9,reads
9,where
9,are
9,you
9,you
9,bastard
10,here
10,i
10,am
10,sir
11,for
11,god's
11,sake
11,baldrick
11,take
11,cover
12,why's
12,that
12,sir
13,because
13,there's
13,an
13,air
13,raid
13,going
13,on
13,and
13,i
13,don't
13,want
13,to
13,have
13,to
13,write
13,to
13,your
13,mother
13,at
13,london
13,zoo
13,and
13,tell
13,her
13,that
13,her
13,only
13,human
13,child
13,is
13,dead
14,all
14,right
14,sir
14,it's
14,just
14,that
14,i
14,didn't
14,know
14,there
14,was
14,an
14,air
14,raid
14,on
14,i
14,couldn't
14,hear
14,anything
14,over
14,the
14,noise
14,of
14,the
14,terrific
14,display
14,by
14,our
14,wonderful
14,boys
14,of
14,the
14,royal
14,flying
14,corps
14,sir
15,what
16,i
16,say
16,those
16,chaps
16,can't
16,half
16,thunder
16,in
16,their
16,airborne
16,steeds
16,can't
16,they
16,just
17,oh
17,hello
17,what's
17,going
17,on
17,here
17,game
17,of
17,hide
17,and
17,seek
17,excellent
17,right
17,now
17,i'll
17,go
17,and
17,count
17,to
17,a
17,hundred
17,er
17,no
17,better
17,make
17,it
17,five
17,actually
18,george
19,er
19,oh
19,it's
19,sardines
19,oh
19,excellent
19,that's
19,my
19,favourite
19,one
19,that
20,george
21,yes
21,sir
22,shut
22,up
22,and
22,never
22,say
22,anything
22,again
22,as
22,long
22,as
22,you
22,live
23,right
23,you
23,are
23,sir
24,crikey
24,but
24,what
24,a
24,show
24,it
24,was
24,sir
24,lord
24,flasheart's
24,flying
24,aces
24,how
24,we
24,cheered
24,when
24,they
24,spun
24,how
24,we
24,shouted
24,when
24,they
24,dived
24,how
24,we
24,applauded
24,when
24,one
24,chap
24,got
24,sliced
24,in
24,half
24,by
24,his
24,own
24,propeller
24,well
24,it's
24,all
24,part
24,of
24,the
24,joke
24,for
24,those
24,magnificent
24,men
24,in
24,their
24,flying
24,machines
25,for
25,magnificent
25,men
25,read
25,biggest
25,showoffs
25,since
25,lady
25,godiva
25,entered
25,the
25,royal
25,enclosure
25,at
25,ascot
25,claiming
25,she
25,had
25,literally
25,nothing
25,to
25,wear
25,i
25,don't
25,care
25,how
25,many
25,times
25,they
25,go
25,up
25,diddly
25,up
25,up
25,they're
25,still
25,gits
26,oh
26,come
26,on
26,sir
26,i'd
26,love
26,to
26,be
26,a
26,flier
26,up
26,there
26,where
26,the
26,air
26,is
26,clear
27,the
27,chances
27,of
27,the
27,air
27,being
27,clear
27,anywhere
27,near
27,you
27,baldrick
27,are
27,zero
28,oh
28,sir
28,it'd
28,be
28,great
28,swooping
28,and
28,diving
29,baldrick
30,baldrick
31,baldrick
31,what
31,are
31,you
31,doing
32,i'm
32,a
32,sopwith
32,camel
32,sir
33,oh
33,it
33,is
33,a
33,sopwith
33,camel
33,ah
33,right
33,i
33,always
33,get
33,confused
33,between
33,the
33,sound
33,of
33,a
33,sopwith
33,camel
33,and
33,the
33,sound
33,of
33,a
33,malodourous
33,runt
33,wasting
33,everybodys
33,time
33,now
33,if
33,you
33,can
33,do
33,without
33,me
33,in
33,the
33,nursery
33,for
33,a
33,while
33,i'm
33,going
33,to
33,get
33,some
33,fresh
33,air
34,ha
34,eat
34,knuckle
34,fritz
35,aha
35,how
35,disgusting
35,a
35,boche
35,on
35,the
35,sole
35,of
35,my
35,boot
35,i
35,shall
35,have
35,to
35,find
35,a
35,patch
35,of
35,grass
35,to
35,wipe
35,it
35,on
35,probably
35,get
35,shunned
35,in
35,the
35,officers
35,mess
35,sorry
35,about
35,the
35,pong
35,you
35,fellows
35,trod
35,in
35,a
35,boche
35,and
35,can't
35,get
35,rid
35,of
35,the
35,whiff
36,do
36,you
36,think
36,we
36,could
36,dispense
36,with
36,the
36,hilarious
36,doggy
36,do
36,metaphor
36,for
36,a
36,moment
36,i'm
36,not
36,a
36,boche
36,this
36,is
36,a
36,british
36,trench
37,is
37,it
37,oh
37,that's
37,a
37,piece
37,of
37,luck
37,thought
37,i'd
37,landed
37,sausage
37,side
37,ha
38,mind
38,if
38,i
38,use
38,your
38,phone
38,if
38,word
38,gets
38,out
38,that
38,i'm
38,missing
38,five
38,hundred
38,girls
38,will
38,kill
38,themselves
38,i
38,wouldn't
38,want
38,them
38,on
38,my
38,conscience
38,not
38,when
38,they
38,ought
38,to
38,be
38,on
38,my
38,face
38,huh
39,hi
39,flasheart
39,here
39,yeah
39,cancel
39,the
39,state
39,funeral
39,tell
39,the
39,king
39,to
39,stop
39,blubbing
39,flash
39,is
39,not
39,dead
39,i
39,simply
39,ran
39,out
39,of
39,juice
39,yeah
39,and
39,before
39,all
39,the
39,girls
39,start
39,saying
39,oh
39,what's
39,the
39,point
39,of
39,living
39,anymore
39,i'm
39,talking
39,about
39,petrol
39,woof
39,woof
39,yeah
39,i
39,dumped
39,the
39,kite
39,on
39,the
39,proles
39,so
39,send
39,a
39,car
39,er
39,general
39,melchett's
39,driver
39,should
39,do
39,she
39,hangs
39,around
39,with
39,the
39,big
39,nobs
39,so
39,she'll
39,be
39,used
39,to
39,a
39,fellow
39,like
39,me
39,woof
39,woof
40,look
40,do
40,you
40,think
40,you
40,could
40,make
40,your
40,obscene
40,phone
40,call
40,somewhere
40,else
41,no
41,not
41,in
41,half
41,an
41,hour
41,you
41,rubber
41,desk
41,johnny
41,send
41,the
41,bitch
41,with
41,the
41,wheels
41,right
41,now
41,or
41,i'll
41,fly
41,back
41,to
41,england
41,and
41,give
41,your
41,wife
41,something
41,to
41,hang
41,her
41,towels
41,on
42,okay
42,dig
42,out
42,your
42,best
42,booze
42,and
42,let's
42,talk
42,about
42,me
42,til
42,the
42,car
42,comes
42,you
42,must
42,be
42,pretty
42,impressed
42,having
42,squadron
42,commander
42,the
42,lord
42,flasheart
42,drop
42,in
42,on
42,your
42,squalid
42,bit
42,of
42,line
43,actually
43,no
43,i
43,was
43,more
43,impressed
43,by
43,the
43,contents
43,of
43,my
43,handkerchief
43,the
43,last
43,time
43,i
43,blew
43,my
43,nose
44,yeah
44,like
44,hell
44,huh
44,huh
44,you've
44,probably
44,got
44,little
44,piccies
44,of
44,me
44,on
44,the
44,walls
44,of
44,your
44,dugout
44,haven't
44,you
45,i
45,bet
45,you
45,go
45,all
45,girly
45,and
45,giggly
45,every
45,time
45,you
45,look
45,at
45,me
46,i'm
46,afraid
46,not
46,unfortunately
46,most
46,of
46,the
46,infantry
46,think
46,you're
46,a
46,prat
46,ask
46,them
46,who
46,they'd
46,prefer
46,to
46,meet
46,squadron
46,commander
46,flasheart
46,and
46,the
46,man
46,who
46,cleans
46,out
46,the
46,public
46,toilets
46,in
46,aberdeen
46,and
46,they'd
46,go
46,for
46,wee
46,jock
46,poo
46,pong
46,mcplop
46,every
46,time
47,so
47,when
47,that
47,fellow
47,looped
47,the
47,loop
47,i
47,honestly
47,thought
47,that
47,that
47,that
48,my
48,god
49,yes
49,i
49,suppose
49,i
49,am
50,lord
50,flasheart
50,this
50,is
50,the
50,greatest
50,honour
50,of
50,my
50,life
50,i
50,hope
50,i
50,snuff
50,it
50,right
50,now
50,to
50,preserve
50,this
50,moment
50,forever
51,it
51,can
51,be
51,arranged
52,lord
52,flasheart
52,i
52,want
52,to
52,learn
52,to
52,write
52,so
52,i
52,can
52,send
52,a
52,letter
52,home
52,about
52,this
52,golden
52,moment
53,so
53,all
53,the
53,fellows
53,hate
53,me
53,eh
53,not
53,a
53,bit
53,of
53,it
53,i'm
53,your
53,bloody
53,hero
53,eh
53,old
53,scout
54,jesus
55,my
55,lord
55,i've
55,got
55,every
55,cigarette
55,card
55,they
55,ever
55,printed
55,of
55,you
55,my
55,whole
55,family
55,took
55,up
55,smoking
55,just
55,so
55,that
55,we
55,could
55,get
55,the
55,whole
55,set
55,my
55,grandmother
55,smoked
55,herself
55,to
55,death
55,so
55,we
55,could
55,afford
55,the
55,album
56,of
56,course
56,she
56,did
56,of
56,course
56,she
56,did
56,the
56,poor
56,love
56,crazed
56,old
56,octogenarian
57,well
57,all
57,right
57,you
57,fellows
57,let's
57,sit
57,us
57,down
57,and
57,yarn
57,about
57,how
57,amazingly
57,attractive
57,i
57,am
58,yes
58,would
58,you
58,excuse
58,me
58,for
58,a
58,moment
58,i've
58,got
58,some
58,urgent
58,business
58,there's
58,a
58,bucket
58,outside
58,i've
58,got
58,to
58,be
58,sick
58,into
59,all
59,right
59,you
59,chaps
59,let's
59,get
59,comfy
60,you
60,look
60,like
60,a
60,decent
60,british
60,bloke
60,i'll
60,park
60,the
60,old
60,booties
60,on
60,you
60,if
60,that's
60,okay
61,it
61,would
61,be
61,an
61,honour
61,my
61,lord
62,of
62,course
62,it
62,would
62,ha
63,have
63,you
63,any
63,idea
63,what
63,it's
63,like
63,to
63,have
63,the
63,wind
63,rushing
63,through
63,your
63,hair
64,no
64,sir
65,he
65,has
66,so
66,i
66,flew
66,straight
66,through
66,her
66,bedroom
66,window
66,popped
66,a
66,box
66,of
66,chocs
66,on
66,the
66,dressing
66,table
66,machine
66,gunned
66,my
66,telephone
66,number
66,into
66,the
66,wall
66,and
66,then
66,shot
66,off
66,and
66,shagged
66,her
66,sister
67,ahem
67,driver
67,parkhurst
67,reporting
67,for
67,duty
67,my
67,lord
68,well
68,well
68,well
68,if
68,it
68,isn't
68,little
68,bobby
68,parkhurst
68,saucier
68,than
68,a
68,direct
68,hit
68,on
68,a
68,heinz
68,factory
69,i've
69,come
69,to
69,pick
69,you
69,up
70,well
70,that's
70,how
70,i
70,like
70,my
70,girls
70,direct
70,and
70,to
70,my
70,point
70,woof
71,woof
72,ah
72,tally
72,ho
72,then
72,back
72,to
72,the
