line,word
1,i
1,spy
1,with
1,my
1,little
1,eye
1,something
1,beginning
1,with
1,m
2,erm
3,mmm
4,erm
5,mmm
6,mmm
7,mmmuh
8,mmm
9,mug
10,oh
10,i
10,say
10,well
10,done
10,sir
10,your
10,turn
11,i
11,spy
11,with
11,my
11,bored
11,little
11,eye
11,something
11,beginning
11,with
11,t
12,breakfast
13,what
14,my
14,breakfast
14,always
14,begins
14,with
14,tea
14,and
14,i
14,have
14,a
14,little
14,sausage
14,and
14,a
14,egg
14,with
14,some
14,little
14,soldiers
15,baldrick
15,when
15,i
15,said
15,it
15,begins
15,with
15,t
15,i
15,was
15,talking
15,about
15,a
15,letter
16,nah
16,it
16,never
16,begins
16,with
16,a
16,letter
16,the
16,postman
16,don't
16,come
16,til
16,10.30
17,i
17,can't
17,go
17,on
17,with
17,this
17,george
17,take
17,over
18,all
18,right
18,sir
18,erm
18,i
18,spy
18,with
18,my
18,litle
18,eye
18,something
18,beginning
18,with
18,r
19,army
20,for
20,god's
20,sake
20,baldrick
20,army
20,starts
20,with
20,an
20,a
20,he's
20,looking
20,for
20,something
20,that
20,starts
20,with
20,an
20,r
20,rrrrrrrr
21,motorbike
22,what
23,a
23,motorbike
23,starts
23,with
23,a
23,rrrrrrrrrrrrrrm
23,rrrrrrrrrrrrrrrr
24,all
24,right
24,right
24,right
24,right
24,my
24,turn
24,again
24,what
24,begins
24,with
24,come
24,here
24,and
24,ends
24,with
24,ow
25,i
25,don't
25,know
26,come
26,here
27,ow
28,well
28,done
29,no
29,i
29,don't
29,think
29,you've
29,quite
29,got
29,the
29,hang
29,of
29,this
29,game
29,to
29,be
29,honest
29,sir
29,i
29,tell
29,you
29,what
29,let's
29,try
29,another
29,one
29,erm
29,i
29,hear
29,with
29,my
29,little
29,ear
29,er
29,something
29,beginning
29,with
29,b
30,what
31,bomb
32,i
32,can't
32,hear
32,a
32,bomb
33,listen
33,very
33,carefully
34,ah
34,yes
35,finished
36,come
36,on
36,then
37,all
37,right
37,and
37,then
37,you
37,can
37,tell
37,me
37,what
37,you
37,think
37,but
37,be
37,honest
37,now
38,i
38,will
39,all
39,right
39,then
39,dear
39,uncle
39,h
39,how
39,are
39,you
39,yeah
39,it's
39,good
39,isn't
39,it
39,erm
39,it's
39,beastly
39,rotten
39,luck
39,being
39,laid
39,up
39,here
39,but
39,everyone's
39,very
39,nice
39,and
39,at
39,least
39,now
39,i
39,can
39,write
39,to
39,you
39,every
39,day
39,oh
39,ahem
39,then
39,i
39,put
39,in
39,that
39,silly
39,bit
39,about
39,er
40,what
40,what
41,no
41,it's
41,er
42,oh
42,come
42,on
42,you
42,can
42,tell
42,me
43,and
43,the
43,nurse
43,is
43,an
43,absolute
43,peach
43,anyway
43,after
43,the
43,explosion
43,captain
43,blackadder
43,was
43,marvellous
43,he
43,joked
43,and
43,joked
43,you
43,lucky
43,lucky
43,lucky
43,bastard
43,he
43,cried
43,then
43,he
43,lay
43,on
43,his
43,back
43,stuck
43,his
43,foot
43,over
43,the
43,top
43,of
43,the
43,trench
43,and
43,shouted
43,over
43,here
43,fritz
43,what
43,about
43,me
43,what
43,about
43,me
44,well
44,captain
44,blacky
44,does
44,indeed
44,sound
44,a
44,most
44,witty
44,and
44,courageous
44,chap
45,yes
45,and
45,he's
45,very
45,amusing
45,and
45,brave
45,as
45,well
45,not
45,to
45,mention
45,he's
45,as
45,clever
45,as
45,a
45,chap
45,with
45,three
45,heads
46,thanks
46,ever
46,so
46,much
46,you
46,really
46,are
46,terribly
46,kind
46,as
46,well
46,as
46,being
46,dash
46,pretty
46,to
46,boot
47,oh
47,dear
47,a
47,fluffy
47,pillow
47,and
47,a
47,big
47,cheery
47,smile
47,is
47,the
47,least
47,my
47,lovely
47,boyses
47,deserve
47,now
47,you
47,take
47,a
47,little
47,trip
47,to
47,dozy
47,land
47,you've
47,got
47,visitors
47,coming
47,and
47,we
47,don't
47,want
47,to
47,be
47,all
47,tired
47,and
47,cross
47,do
47,we
48,absolutely
48,not
48,no
48,it'll
48,be
48,so
